deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-04-02T18:39:43.722009+00:00,1.02
docker,1,2025-04-02T18:39:44.769206+00:00,1.79
wasm_aot,2,2025-04-02T18:39:46.635699+00:00,0.84
docker,2,2025-04-02T18:39:47.482804+00:00,1.75
wasm_aot,3,2025-04-02T18:39:49.308161+00:00,0.81
docker,3,2025-04-02T18:39:50.132330+00:00,1.81
docker,4,2025-04-02T18:39:52.024694+00:00,1.77
docker,5,2025-04-02T18:39:53.867618+00:00,1.75
wasm_aot,4,2025-04-02T18:39:55.695870+00:00,0.8
wasm_aot,5,2025-04-02T18:39:56.500332+00:00,0.8
wasm_aot,6,2025-04-02T18:39:57.311579+00:00,0.8
docker,6,2025-04-02T18:39:58.117755+00:00,1.74
docker,7,2025-04-02T18:39:59.927841+00:00,1.72
docker,8,2025-04-02T18:40:01.716680+00:00,1.7
docker,9,2025-04-02T18:40:03.491883+00:00,1.75
docker,10,2025-04-02T18:40:05.311029+00:00,1.79
wasm_aot,7,2025-04-02T18:40:07.176226+00:00,0.81
wasm_aot,8,2025-04-02T18:40:07.990640+00:00,0.78
wasm_aot,9,2025-04-02T18:40:08.784946+00:00,0.78
docker,11,2025-04-02T18:40:09.575531+00:00,2.01
docker,12,2025-04-02T18:40:11.656498+00:00,1.96
wasm_aot,10,2025-04-02T18:40:13.721896+00:00,0.87
wasm_aot,11,2025-04-02T18:40:14.597862+00:00,0.83
docker,13,2025-04-02T18:40:15.435464+00:00,1.87
wasm_aot,12,2025-04-02T18:40:17.371442+00:00,0.78
docker,14,2025-04-02T18:40:18.163055+00:00,1.76
wasm_aot,13,2025-04-02T18:40:19.998470+00:00,0.84
wasm_aot,14,2025-04-02T18:40:20.843114+00:00,0.79
wasm_aot,15,2025-04-02T18:40:21.642360+00:00,0.78
docker,15,2025-04-02T18:40:22.434722+00:00,1.74
docker,16,2025-04-02T18:40:24.242609+00:00,1.69
wasm_aot,16,2025-04-02T18:40:26.005309+00:00,0.8
docker,17,2025-04-02T18:40:26.809127+00:00,1.74
wasm_aot,17,2025-04-02T18:40:28.617802+00:00,0.79
docker,18,2025-04-02T18:40:29.417697+00:00,1.72
wasm_aot,18,2025-04-02T18:40:31.222984+00:00,0.79
docker,19,2025-04-02T18:40:32.019851+00:00,1.74
docker,20,2025-04-02T18:40:33.837553+00:00,1.68
wasm_aot,19,2025-04-02T18:40:35.591603+00:00,0.8
wasm_aot,20,2025-04-02T18:40:36.401887+00:00,0.79
