deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-03T08:40:32.873540+00:00,,,,,,31834.0,,,0.0,31716.0,98297856.0,194711552.0,12.5,7.4,5.1
docker_container_and_daemon,1,2025-04-03T08:40:32.873540+00:00,,,,,,32371.03,,,38.84,32202.14,149211136.0,300740608.0,15.370000000000001,8.1,7.27
docker_container_and_daemon_extra_overhead,1,2025-04-03T08:40:32.873540+00:00,,,,,,32364.03,,,32.84,32201.14,99350528.0,194711552.0,15.32,8.08,7.2299999999999995
wasm_aot,1,2025-04-03T08:42:48.243139+00:00,,,,,,85517.0,,,516.0,85001.0,188432384.0,353619968.0,35.93,23.92,11.9
docker_container,2,2025-04-03T08:43:23.138615+00:00,,,,,,30794.0,,,202.0,31663.0,136433664.0,218398720.0,19.82,12.66,7.15
docker_container_and_daemon,2,2025-04-03T08:43:23.138615+00:00,,,,,,30956.42,,,217.11,31807.8,187480064.0,324427776.0,20.78,12.94,7.83
docker_container_and_daemon_extra_overhead,2,2025-04-03T08:43:23.138615+00:00,,,,,,30956.42,,,217.11,31807.8,137349120.0,218398720.0,20.78,12.94,7.83
docker_container,3,2025-04-03T08:44:00.271245+00:00,,,,,,42980.0,,,0.0,42957.0,79362048.0,164540416.0,16.63,11.67,4.96
docker_container_and_daemon,3,2025-04-03T08:44:00.271245+00:00,,,,,,42980.0,,,0.0,42957.0,130962090.67,270569472.0,16.669999999999998,11.67,5.0
docker_container_and_daemon_extra_overhead,3,2025-04-03T08:44:00.271245+00:00,,,,,,42980.0,,,0.0,42957.0,79833361.07,164540416.0,16.63,11.67,4.96
docker_container,4,2025-04-03T08:44:38.514869+00:00,,,,,,42813.0,,,0.0,42781.0,101629952.0,200417280.0,19.49,11.95,7.54
docker_container_and_daemon,4,2025-04-03T08:44:38.514869+00:00,,,,,,42813.0,,,0.0,42781.0,153561088.0,306446336.0,19.509999999999998,11.95,7.56
docker_container_and_daemon_extra_overhead,4,2025-04-03T08:44:38.514869+00:00,,,,,,42813.0,,,0.0,42781.0,102029312.0,200417280.0,19.49,11.95,7.54
docker_container,5,2025-04-03T08:45:14.889421+00:00,,,,,,42857.0,,,0.0,42857.0,66623488.0,176787456.0,34.8,25.97,8.83
docker_container_and_daemon,5,2025-04-03T08:45:14.889421+00:00,,,,,,42859.88,,,0.0,42859.88,118700032.0,282816512.0,35.18,26.09,9.09
docker_container_and_daemon_extra_overhead,5,2025-04-03T08:45:14.889421+00:00,,,,,,42859.88,,,0.0,42859.88,66988032.0,176787456.0,35.18,26.09,9.09
wasm_aot,2,2025-04-03T08:45:50.301910+00:00,,,,,,84992.0,,,476.0,84516.0,252121088.0,366956544.0,,,
docker_container,6,2025-04-03T08:46:20.204711+00:00,,,,,,52265.0,,,132.0,52067.0,153847125.33,246382592.0,41.54,34.68,6.86
docker_container_and_daemon,6,2025-04-03T08:46:20.204711+00:00,,,,,,52265.0,,,132.0,52067.0,206566741.33,352411648.0,41.56,34.68,6.87
docker_container_and_daemon_extra_overhead,6,2025-04-03T08:46:20.204711+00:00,,,,,,52265.0,,,132.0,52067.0,155120981.33,246382592.0,41.54,34.68,6.86
wasm_aot,3,2025-04-03T08:46:55.589449+00:00,,,,,,65132.0,,,304.0,64827.0,214286336.0,288337920.0,,,
wasm_aot,4,2025-04-03T08:47:18.229301+00:00,,,,,,84556.0,,,27.0,84529.0,188510208.0,312901632.0,41.3,18.74,22.56
wasm_aot,5,2025-04-03T08:47:42.906494+00:00,,,,,,61362.0,,,24.0,61380.0,278810624.0,278863872.0,,,
docker_container,7,2025-04-03T08:48:06.352880+00:00,,,,,,39673.0,,,239.0,39459.0,100073472.0,198098944.0,16.41,10.55,5.86
docker_container_and_daemon,7,2025-04-03T08:48:06.352880+00:00,,,,,,39706.88,,,244.89,39486.99,152954197.32999998,304128000.0,17.3,10.8,6.49
docker_container_and_daemon_extra_overhead,7,2025-04-03T08:48:06.352880+00:00,,,,,,39705.88,,,244.89,39485.99,100421358.93,198098944.0,17.28,10.790000000000001,6.48
docker_container,8,2025-04-03T08:48:41.394760+00:00,,,,,,15.0,,,0.0,15.0,2359296.0,3710976.0,,,
docker_container_and_daemon,8,2025-04-03T08:48:41.394760+00:00,,,,,,15.0,,,0.0,15.0,55304192.0,109740032.0,,,
docker_container_and_daemon_extra_overhead,8,2025-04-03T08:48:41.394760+00:00,,,,,,15.0,,,0.0,15.0,2637824.0,3710976.0,,,
wasm_aot,6,2025-04-03T08:49:14.821263+00:00,,,,,,84540.0,,,0.0,84540.0,325976064.0,326021120.0,,,
docker_container,9,2025-04-03T08:50:00.516475+00:00,,,,,,53670.0,,,65.0,53372.0,80484352.0,175878144.0,43.9,34.03,9.87
docker_container_and_daemon,9,2025-04-03T08:50:00.516475+00:00,,,,,,53674.32,,,65.0,53376.32,133452458.67,281907200.0,44.26,34.04,10.219999999999999
docker_container_and_daemon_extra_overhead,9,2025-04-03T08:50:00.516475+00:00,,,,,,53674.32,,,65.0,53376.32,80745130.67,175878144.0,44.25,34.04,10.219999999999999
docker_container,10,2025-04-03T08:50:35.138659+00:00,,,,,,21.0,,,0.0,21.0,2285568.0,3170304.0,,,
docker_container_and_daemon,10,2025-04-03T08:50:35.138659+00:00,,,,,,21.0,,,0.0,21.0,55328768.0,109199360.0,,,
docker_container_and_daemon_extra_overhead,10,2025-04-03T08:50:35.138659+00:00,,,,,,21.0,,,0.0,21.0,2592085.329999998,3170304.0,,,
wasm_aot,7,2025-04-03T08:51:08.676415+00:00,,,,,,85189.0,,,0.0,85189.0,195420160.0,270454784.0,,,
wasm_aot,8,2025-04-03T08:51:52.728039+00:00,,,,,,85190.0,,,0.0,85190.0,218951680.0,287162368.0,37.6,33.76,3.39
wasm_aot,9,2025-04-03T08:53:00.691759+00:00,,,,,,85189.0,,,0.0,85189.0,203812864.0,278781952.0,,,
wasm_aot,10,2025-04-03T08:53:22.820976+00:00,,,,,,84337.0,,,0.0,84337.0,293552128.0,293720064.0,,,
docker_container,11,2025-04-03T08:53:45.290378+00:00,,,,,,250.0,,,0.0,250.0,2695168.0,3710976.0,,,
docker_container_and_daemon,11,2025-04-03T08:53:45.290378+00:00,,,,,,383.4,,,18.53,357.46,51326976.0,109740032.0,,,
docker_container_and_daemon_extra_overhead,11,2025-04-03T08:53:45.290378+00:00,,,,,,383.4,,,18.53,357.46,3035136.0,3710976.0,,,
wasm_aot,11,2025-04-03T08:54:18.833028+00:00,,,,,,84543.0,,,0.0,84543.0,276205568.0,276459520.0,,,
wasm_aot,12,2025-04-03T08:55:27.855353+00:00,,,,,,84552.0,,,0.0,84552.0,93386752.0,264355840.0,,37.61,12.0
wasm_aot,13,2025-04-03T08:56:13.180722+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,12,2025-04-03T08:56:35.159244+00:00,,,,,,235.0,,,0.0,221.0,2220032.0,3567616.0,,,
docker_container_and_daemon,12,2025-04-03T08:56:35.159244+00:00,,,,,,244.43,,,1.57,228.86,51492864.0,109596672.0,,,
docker_container_and_daemon_extra_overhead,12,2025-04-03T08:56:35.159244+00:00,,,,,,244.43,,,1.57,228.86,2545664.0,3567616.0,,,
docker_container,13,2025-04-03T08:57:08.710289+00:00,,,,,,43855.0,,,0.0,43848.0,55588864.0,154370048.0,43.21,37.55,5.66
docker_container_and_daemon,13,2025-04-03T08:57:08.710289+00:00,,,,,,43855.0,,,0.0,43848.0,106059776.0,260399104.0,43.21,37.55,5.66
docker_container_and_daemon_extra_overhead,13,2025-04-03T08:57:08.710289+00:00,,,,,,43855.0,,,0.0,43848.0,56961024.0,154370048.0,43.21,37.55,5.66
wasm_aot,14,2025-04-03T08:57:42.116495+00:00,,,,,,84568.0,,,0.0,84568.0,186783744.0,264601600.0,21.15,19.13,2.02
docker_container,14,2025-04-03T08:58:07.038991+00:00,,,,,,44054.0,,,0.0,44051.0,56092672.0,156282880.0,29.86,25.62,4.24
docker_container_and_daemon,14,2025-04-03T08:58:07.038991+00:00,,,,,,44089.55,,,0.0,44086.55,107345920.0,262311936.0,30.59,25.720000000000002,4.87
docker_container_and_daemon_extra_overhead,14,2025-04-03T08:58:07.038991+00:00,,,,,,44089.55,,,0.0,44086.55,56512102.4,156282880.0,30.56,25.71,4.84
docker_container,15,2025-04-03T08:58:40.745802+00:00,,,,,,48676.0,,,0.0,48675.0,28196864.0,154304512.0,39.44,33.68,5.76
docker_container_and_daemon,15,2025-04-03T08:58:40.745802+00:00,,,,,,48739.09,,,0.0,48738.09,79765504.0,260333568.0,40.629999999999995,34.05,6.58
docker_container_and_daemon_extra_overhead,15,2025-04-03T08:58:40.745802+00:00,,,,,,48739.09,,,0.0,48738.09,28614656.0,154304512.0,40.599999999999994,34.05,6.55
wasm_aot,15,2025-04-03T08:59:15.036371+00:00,,,,,,85190.0,,,0.0,85190.0,189325312.0,264617984.0,,,
wasm_aot,16,2025-04-03T08:59:37.794160+00:00,,,,,,84558.0,,,53.0,84505.0,194867200.0,271806464.0,,,
