metric,docker-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,61567122625.77998-68480340867.38603,22401425199.62967-24260248871.770332,True,2.63x-2.94x
instructions,76376475985.85031-83039954055.31369,24492749715.151253-26904901392.848747,True,2.97x-3.24x
cache-misses,53851241.018482104-56150716.113517895,33348787.919967387-36516155.58003261,True,1.52x-1.63x
cache-references,14364318765.405972-16571846889.130028,4714908098.773757-5172687607.426244,True,2.90x-3.36x
bus-cycles,31324695794.620495-35525611941.6915,11647244141.081291-12637141689.918709,True,2.58x-2.93x
page-faults,17128.115416573364-18315.334583426633,33249.457684662106-33589.542315337894,True,1.85x-1.92x
branch-instructions,12096270242.225946-13200306048.626055,3797363130.9832797-4148510177.21672,True,3.04x-3.33x
branch-misses,145982261.56245548-160430378.73254448,132081901.4224027-136834731.87759733,True,1.08x-1.20x
major-faults,26.85491380497072-201.50108619502933,-5.6684077929897505-30.768407792989752,True,2.03x-16.17x
minor-faults,17049.511081692595-18150.954918307405,33241.46753511662-33572.43246488337,True,1.87x-1.93x
avg-memory-over-time-in-bytes,63750238.75079946-79936778.94420053,80297901.33885054-85789239.84314944,True,1.04x-1.27x
max-memory-over-time-in-bytes,67497190.96424639-86351436.2357536,96339831.00779559-101648520.99220441,True,1.16x-1.41x
CPU-total-utilization-percentage,48.99553578062249-51.38846421937751,51.38723664784197-56.425763352158015,True,1.02x-1.13x
CPU-user-utilization-percentage,46.71685557085602-49.06314442914398,49.52886987572712-54.470130124272906,True,1.03x-1.14x
CPU-system-utilization-percentage,2.2343319218356013-2.3576680781643984,1.40943307144377-1.6495669285562302,True,1.41x-1.59x
instructions-per-cycle,1.2034671116294242-1.2561348478381542,1.075780927584391-1.1268475611810689,True,1.08x-1.15x
cycles-per-instruction,0.7970941437906933-0.8324652831085799,0.8892060865531578-0.930999600054424,True,1.08x-1.15x
