metric,native-value,docker-value,statistically-significant,effect-size
cpu-cycles,21777455136.514946-23410132817.18505,61567122625.77998-68480340867.38603,True,2.72x-3.03x
instructions,23900140695.90641-26264930203.793587,76376475985.85031-83039954055.31369,True,3.04x-3.32x
cache-misses,32795475.698287327-34711986.60171267,53851241.018482104-56150716.113517895,True,1.59x-1.67x
cache-references,4622596011.212144-5039702173.087855,14364318765.405972-16571846889.130028,True,2.97x-3.43x
bus-cycles,11061576526.026867-11934350038.473133,31324695794.620495-35525611941.6915,True,2.72x-3.09x
page-faults,17755.857209190668-18419.142790809332,17128.115416573364-18315.334583426633,False,0.98x-1.06x
branch-instructions,3637401353.049436-3959917352.0505643,12096270242.225946-13200306048.626055,True,3.18x-3.48x
branch-misses,126920283.56871158-134545210.93128842,145982261.56245548-160430378.73254448,True,1.11x-1.23x
major-faults,-3.19822893312012-72.49822893312012,26.85491380497072-201.50108619502933,False,0.60x-5.99x
minor-faults,17732.835038128178-18372.86496187182,17049.511081692595-18150.954918307405,False,0.99x-1.06x
avg-memory-over-time-in-bytes,54919075.800413385-67918095.15558663,63750238.75079946-79936778.94420053,True,1.01x-1.33x
max-memory-over-time-in-bytes,63317794.862240836-74284867.53775917,67497190.96424639-86351436.2357536,False,0.96x-1.27x
CPU-total-utilization-percentage,49.912691600225735-58.192308399774284,48.99553578062249-51.38846421937751,False,0.99x-1.16x
CPU-user-utilization-percentage,48.815346295260795-56.99865370473921,46.71685557085602-49.06314442914398,True,1.02x-1.19x
CPU-system-utilization-percentage,1.2277759456070787-1.4492240543929213,2.2343319218356013-2.3576680781643984,True,1.62x-1.81x
instructions-per-cycle,1.0792176665583337-1.1401538635615607,1.2034671116294242-1.2561348478381542,True,1.07x-1.14x
cycles-per-instruction,0.8790090915753302-0.9292822448900063,0.7970941437906933-0.8324652831085799,True,1.07x-1.15x
