metric,native-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,21777455136.514946-23410132817.18505,22401425199.62967-24260248871.770332,False,0.98x-1.09x
instructions,23900140695.90641-26264930203.793587,24492749715.151253-26904901392.848747,False,0.96x-1.09x
cache-misses,32795475.698287327-34711986.60171267,33348787.919967387-36516155.58003261,False,0.98x-1.09x
cache-references,4622596011.212144-5039702173.087855,4714908098.773757-5172687607.426244,False,0.96x-1.09x
bus-cycles,11061576526.026867-11934350038.473133,11647244141.081291-12637141689.918709,True,1.00x-1.11x
page-faults,17755.857209190668-18419.142790809332,33249.457684662106-33589.542315337894,True,1.83x-1.87x
branch-instructions,3637401353.049436-3959917352.0505643,3797363130.9832797-4148510177.21672,False,0.99x-1.11x
branch-misses,126920283.56871158-134545210.93128842,132081901.4224027-136834731.87759733,False,1.00x-1.06x
major-faults,-3.19822893312012-72.49822893312012,-5.6684077929897505-30.768407792989752,False,-0.52x-6.04x
minor-faults,17732.835038128178-18372.86496187182,33241.46753511662-33572.43246488337,True,1.83x-1.87x
avg-memory-over-time-in-bytes,54919075.800413385-67918095.15558663,80297901.33885054-85789239.84314944,True,1.24x-1.47x
max-memory-over-time-in-bytes,63317794.862240836-74284867.53775917,96339831.00779559-101648520.99220441,True,1.35x-1.53x
CPU-total-utilization-percentage,49.912691600225735-58.192308399774284,51.38723664784197-56.425763352158015,False,0.92x-1.09x
CPU-user-utilization-percentage,48.815346295260795-56.99865370473921,49.52886987572712-54.470130124272906,False,0.93x-1.11x
CPU-system-utilization-percentage,1.2277759456070787-1.4492240543929213,1.40943307144377-1.6495669285562302,True,1.02x-1.26x
instructions-per-cycle,1.0792176665583337-1.1401538635615607,1.075780927584391-1.1268475611810689,False,0.97x-1.04x
cycles-per-instruction,0.8790090915753302-0.9292822448900063,0.8892060865531578-0.930999600054424,False,0.97x-1.04x
