"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","5,184,410,580.92-8,278,438,454.38","7,019,842,546.22-10,163,574,788.16","False","0.96x-1.59x"
"instructions","3,701,832,412.95-5,145,273,979.55","7,841,216,066.15-9,939,113,365.80","True","1.73x-2.29x"
"cache-misses","14,375,226.96-25,047,342.24","17,109,525.69-22,509,283.08","False","0.71x-1.30x"
"cache-references","826,570,812.75-1,322,445,147.85","1,822,554,038.00-2,309,744,175.95","True","1.61x-2.24x"
"bus-cycles","2,267,414,620.74-3,445,217,321.56","3,358,602,780.41-4,458,194,080.66","True","1.10x-1.64x"
"page-faults","57,316.72-60,226.08","39,591.18-41,318.65","True","1.41x-1.49x"
"branch-instructions","287,488,772.16-436,721,023.74","771,364,376.16-976,844,497.79","True","2.07x-2.75x"
"branch-misses","30,209,428.12-46,641,450.08","45,627,005.35-70,740,669.47","True","1.13x-1.89x"
"major-faults","13.23-68.97","86.32-304.08","True","2.04x-7.46x"
"minor-faults","57,283.74-60,176.26","39,444.85-41,038.79","True","1.42x-1.50x"
"avg-memory-over-time-in-bytes","91,522,893.29-109,890,704.58","74,902,004.13-91,040,634.23","True","1.07x-1.36x"
"max-memory-over-time-in-bytes","178,919,695.97-189,550,320.03","139,572,712.42-165,870,513.18","True","1.11x-1.30x"
"cpu-total-utilization-percentage","21.76-27.73","20.00-25.90","False","0.90x-1.26x"
"cpu-user-utilization-percentage","19.30-24.21","16.97-22.77","False","0.91x-1.28x"
"cpu-system-utilization-percentage","3.18-3.93","2.86-3.28","True","1.02x-1.29x"
"instructions-per-cycle","0.61-0.84","0.94-1.33","True","1.25x-1.87x"
"cycles-per-instruction","1.14-2.13","0.85-1.08","True","1.18x-2.22x"
"wall-time-seconds","3.87-3.93","4.48-4.55","True","1.15x-1.17x"
