"metric","native-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","8,435,310,004.74-10,682,559,861.26","9,258,639,590.82-11,909,226,468.68","False","0.93x-1.28x"
"instructions","6,261,236,461.23-8,010,627,018.27","6,730,663,518.58-8,726,271,786.32","False","0.90x-1.26x"
"cache-misses","22,353,889.16-28,765,427.64","25,815,307.32-35,812,864.38","False","0.98x-1.43x"
"cache-references","1,411,479,600.77-1,691,862,364.93","1,574,842,947.48-2,077,863,885.92","False","1.00x-1.36x"
"bus-cycles","4,034,412,495.17-5,059,420,594.53","4,340,667,565.05-5,658,724,069.35","False","0.92x-1.28x"
"page-faults","50,376.53-50,919.67","100,617.33-102,055.57","True","1.99x-2.02x"
"branch-instructions","644,217,709.95-845,965,511.25","658,205,457.40-870,970,041.90","False","0.84x-1.22x"
"branch-misses","43,876,210.58-62,380,533.42","49,122,605.72-70,152,364.28","False","0.87x-1.38x"
"major-faults","12.64-159.26","78.95-242.45","False","0.63x-3.11x"
"minor-faults","50,298.10-50,826.80","100,442.15-101,908.05","True","1.99x-2.02x"
"avg-memory-over-time-in-bytes","106,980,131.63-128,918,744.96","168,117,010.79-197,335,558.56","True","1.40x-1.70x"
"max-memory-over-time-in-bytes","186,312,938.86-215,319,931.54","318,368,349.41-353,831,535.39","True","1.56x-1.78x"
"cpu-total-utilization-percentage","24.64-31.74","23.68-31.72","False","0.83x-1.21x"
"cpu-user-utilization-percentage","21.88-28.56","21.05-28.97","False","0.81x-1.21x"
"cpu-system-utilization-percentage","2.49-2.91","2.96-3.62","True","1.08x-1.36x"
"instructions-per-cycle","0.70-0.82","0.68-0.80","False","0.91x-1.14x"
"cycles-per-instruction","1.24-1.48","1.25-1.55","False","0.89x-1.17x"
"wall-time-seconds","4.04-4.16","5.13-5.28","True","1.25x-1.29x"
