"metric","wasm_aot-value","native-value","statistically-significant","effect-size"
"cpu-cycles","7,955,966,859.29-10,553,411,175.31","6,031,124,249.81-8,256,008,024.59","True","1.06x-1.53x"
"instructions","5,651,240,785.75-7,632,977,748.05","4,541,659,041.75-6,122,017,295.85","True","1.02x-1.48x"
"cache-misses","24,801,583.45-33,609,651.75","19,194,156.74-26,758,817.76","True","1.03x-1.52x"
"cache-references","1,390,415,124.74-1,861,926,042.76","1,114,536,880.37-1,456,244,313.13","True","1.05x-1.48x"
"bus-cycles","4,166,387,920.49-5,464,867,820.01","2,891,408,772.17-3,861,256,075.63","True","1.19x-1.66x"
"page-faults","100,921.86-102,619.94","36,897.96-38,759.44","True","2.66x-2.72x"
"branch-instructions","699,377,529.58-947,909,454.82","528,158,283.06-689,862,382.44","True","1.12x-1.59x"
"branch-misses","54,165,688.76-72,760,295.44","44,649,594.25-59,268,973.55","True","1.00x-1.44x"
"major-faults","64.31-238.49","12.07-45.23","True","2.20x-8.36x"
"minor-faults","100,788.61-102,454.79","36,887.77-38,744.53","True","2.66x-2.72x"
"avg-memory-over-time-in-bytes","168,509,241.74-190,664,177.66","97,893,254.90-117,502,912.78","True","1.53x-1.80x"
"max-memory-over-time-in-bytes","306,346,031.78-331,623,990.62","158,255,416.14-187,333,115.06","True","1.74x-1.95x"
"cpu-total-utilization-percentage","27.40-36.87","23.68-36.60","False","0.81x-1.32x"
"cpu-user-utilization-percentage","23.12-31.50","20.78-32.14","False","0.77x-1.29x"
"cpu-system-utilization-percentage","4.17-5.05","2.36-3.01","True","1.52x-1.92x"
"instructions-per-cycle","0.68-0.76","0.71-0.80","False","0.97x-1.13x"
"cycles-per-instruction","1.32-1.49","1.26-1.42","False","0.96x-1.13x"
"wall-time-seconds","4.25-4.61","3.18-3.43","True","1.28x-1.40x"
