metric,native-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,21777455136.514946-23410132817.18505,88107844650.85245-96565944412.74756,True,3.90x-4.28x
instructions,23900140695.90641-26264930203.793587,78911476571.76051-88334037350.63948,True,3.14x-3.53x
cache-misses,32795475.698287327-34711986.60171267,56866404.61060341-61554815.089396596,True,1.68x-1.83x
cache-references,4622596011.212144-5039702173.087855,40559349425.76575-46504387633.23425,True,8.39x-9.63x
bus-cycles,11061576526.026867-11934350038.473133,44592148822.22529-48573288882.47471,True,3.88x-4.23x
page-faults,17755.857209190668-18419.142790809332,39389.61970730322-39829.08029269677,True,2.17x-2.21x
branch-instructions,3637401353.049436-3959917352.0505643,10239680245.360453-11298809409.739546,True,2.69x-2.98x
branch-misses,126920283.56871158-134545210.93128842,541847933.5129828-594050940.1870172,True,4.14x-4.55x
major-faults,-3.19822893312012-72.49822893312012,-2.6130690846205837-89.8130690846206,False,-0.41x-2.93x
minor-faults,17732.835038128178-18372.86496187182,39362.657637339296-39768.842362660704,True,2.17x-2.21x
avg-memory-over-time-in-bytes,54919075.800413385-67918095.15558663,98571717.07566719-108307829.47833283,True,1.56x-1.81x
max-memory-over-time-in-bytes,63317794.862240836-74284867.53775917,118812690.26905729-128665172.13094272,True,1.69x-1.90x
CPU-total-utilization-percentage,49.912691600225735-58.192308399774284,30.531605080777716-31.118394919222283,True,1.62x-1.89x
CPU-user-utilization-percentage,48.815346295260795-56.99865370473921,30.30562092009451-30.870379079905494,True,1.60x-1.86x
CPU-system-utilization-percentage,1.2277759456070787-1.4492240543929213,0.31107917741177055-0.3619208225882293,True,3.64x-4.31x
instructions-per-cycle,1.0792176665583337-1.1401538635615607,0.8599451761862817-0.9585059212382596,True,1.16x-1.28x
cycles-per-instruction,0.8790090915753302-0.9292822448900063,1.056573787107398-1.169509497122976,True,1.16x-1.30x
