metric,docker-value,native-value,statistically-significant,effect-size
cpu-cycles,54711065881.32092-65427442765.86008,21609533630.75543-23224364486.84457,True,2.44x-2.92x
instructions,65354495168.26233-78155350971.23969,23893720620.521587-26015498436.778416,True,2.62x-3.13x
cache-misses,49039134.56939446-53292984.80260553,32206299.34717805-34658712.45282195,True,1.46x-1.60x
cache-references,12563363782.666153-15320556610.27385,4522304642.396874-4949112402.703126,True,2.65x-3.24x
bus-cycles,27182175095.99967-32675353309.178326,10857693799.489834-11660241864.110165,True,2.41x-2.90x
page-faults,17057.937948986666-18174.011051013335,17447.34218363707-18109.75781636293,False,0.97x-1.05x
branch-instructions,10619710913.841097-12674992130.785902,3583957491.415272-3883112443.2847276,True,2.84x-3.40x
branch-misses,149720840.90557078-167660456.47242925,129166168.85624033-137032386.14375967,True,1.12x-1.26x
major-faults,13.469174429128515-189.1958255708715,1.2705496337456719-11.329450366254328,True,2.12x-30.05x
minor-faults,17008.095781933433-18004.23621806657,17442.548623417566-18101.951376582434,False,0.98x-1.05x
avg-memory-over-time-in-bytes,58995053.15801688-73017756.56398313,51859065.97600761-56507116.9099924,True,1.08x-1.35x
max-memory-over-time-in-bytes,62951740.565727495-80922307.4342725,61569535.07451872-66088858.525481276,False,0.98x-1.27x
CPU-total-utilization-percentage,47.29921462567575-50.58478537432425,53.08519141659491-57.127808583405084,True,1.07x-1.18x
CPU-user-utilization-percentage,45.10695986486207-48.32504013513792,51.4610144805255-55.33498551947451,True,1.09x-1.20x
CPU-system-utilization-percentage,2.139079866774892-2.3009201332251092,1.2884558470272545-1.4675441529727462,True,1.53x-1.70x
instructions-per-cycle,1.1569247729674998-1.2335809856748288,1.0908052034710902-1.1351703425603175,True,1.04x-1.11x
cycles-per-instruction,0.8133448771693005-0.8674388268297252,0.8822059589098855-0.9178353934784363,True,1.03x-1.11x
