metric,docker-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,54711065881.32092-65427442765.86008,87822320879.83224-96247627134.16776,True,1.42x-1.64x
instructions,65354495168.26233-78155350971.23969,82027962174.21904-89257673476.98097,True,1.09x-1.29x
cache-misses,49039134.56939446-53292984.80260553,55950274.537808046-60752511.76219195,True,1.08x-1.20x
cache-references,12563363782.666153-15320556610.27385,43001669983.60995-47213355079.29005,True,3.06x-3.41x
bus-cycles,27182175095.99967-32675353309.178326,44346591882.82358-49037382017.076416,True,1.44x-1.68x
page-faults,17057.937948986666-18174.011051013335,39500.61420173732-40015.38579826268,True,2.22x-2.29x
branch-instructions,10619710913.841097-12674992130.785902,10195736625.15897-11493999452.741032,False,0.96x-1.18x
branch-misses,149720840.90557078-167660456.47242925,537323586.1182072-606591061.8817928,True,3.38x-3.83x
major-faults,13.469174429128515-189.1958255708715,2.820730503497928-18.07926949650207,True,1.27x-18.13x
minor-faults,17008.095781933433-18004.23621806657,39493.70090446267-40001.39909553734,True,2.24x-2.30x
avg-memory-over-time-in-bytes,58995053.15801688-73017756.56398313,97567495.8429307-103297271.47306928,True,1.41x-1.63x
max-memory-over-time-in-bytes,62951740.565727495-80922307.4342725,118024673.78329584-123838391.81670415,True,1.55x-1.81x
CPU-total-utilization-percentage,47.29921462567575-50.58478537432425,29.774667761810647-30.821332238189356,True,1.56x-1.67x
CPU-user-utilization-percentage,45.10695986486207-48.32504013513792,29.617445567669492-30.711554432330516,True,1.49x-1.60x
CPU-system-utilization-percentage,2.139079866774892-2.3009201332251092,0.2874193725305356-0.3485806274694643,True,6.71x-7.25x
instructions-per-cycle,1.1569247729674998-1.2335809856748288,0.89680590784235-0.9719421492833757,True,1.22x-1.33x
cycles-per-instruction,0.8133448771693005-0.8674388268297252,1.0329124175127087-1.1232638920976543,True,1.22x-1.34x
