metric,wasm_aot-value,native-value,statistically-significant,effect-size
cpu-cycles,22592873140.87994-24123420584.02006,21609533630.75543-23224364486.84457,False,0.99x-1.09x
instructions,24261556941.119705-25982188775.58029,23893720620.521587-26015498436.778416,False,0.95x-1.06x
cache-misses,32625150.373107262-35880066.72689273,32206299.34717805-34658712.45282195,False,0.97x-1.08x
cache-references,4620847369.515931-5005953264.3840685,4522304642.396874-4949112402.703126,False,0.96x-1.08x
bus-cycles,11281180490.748688-12282536949.551311,10857693799.489834-11660241864.110165,False,0.99x-1.10x
page-faults,33260.71071769521-33577.989282304785,17447.34218363707-18109.75781636293,True,1.86x-1.90x
branch-instructions,3684903354.376921-4014578977.3230786,3583957491.415272-3883112443.2847276,False,0.97x-1.09x
branch-misses,131710087.28178495-141451276.21821505,129166168.85624033-137032386.14375967,False,0.98x-1.07x
major-faults,-23.860646741974314-127.56064674197432,1.2705496337456719-11.329450366254328,False,-3.81x-20.27x
minor-faults,33184.95521349159-33550.04478650841,17442.548623417566-18101.951376582434,True,1.86x-1.90x
avg-memory-over-time-in-bytes,75524935.6394688-89604396.5755312,51859065.97600761-56507116.9099924,True,1.39x-1.66x
max-memory-over-time-in-bytes,93665929.39349857-111348701.00650144,61569535.07451872-66088858.525481276,True,1.46x-1.75x
CPU-total-utilization-percentage,49.79764405786029-55.760355942139704,53.08519141659491-57.127808583405084,False,0.98x-1.11x
CPU-user-utilization-percentage,47.8940934544602-53.680906545539806,51.4610144805255-55.33498551947451,False,0.98x-1.12x
CPU-system-utilization-percentage,1.5228793784219172-1.7641206215780827,1.2884558470272545-1.4675441529727462,True,1.09x-1.30x
instructions-per-cycle,1.056195112337686-1.0959182740328894,1.0908052034710902-1.1351703425603175,True,1.01x-1.06x
cycles-per-instruction,0.9135326131482739-0.9478503491853629,0.8822059589098855-0.9178353934784363,True,1.01x-1.06x
