metric,wasm_interpreted-value,native-value,statistically-significant,effect-size
cpu-cycles,87822320879.83224-96247627134.16776,21609533630.75543-23224364486.84457,True,3.92x-4.30x
instructions,82027962174.21904-89257673476.98097,23893720620.521587-26015498436.778416,True,3.28x-3.58x
cache-misses,55950274.537808046-60752511.76219195,32206299.34717805-34658712.45282195,True,1.67x-1.82x
cache-references,43001669983.60995-47213355079.29005,4522304642.396874-4949112402.703126,True,9.08x-9.97x
bus-cycles,44346591882.82358-49037382017.076416,10857693799.489834-11660241864.110165,True,3.94x-4.36x
page-faults,39500.61420173732-40015.38579826268,17447.34218363707-18109.75781636293,True,2.21x-2.26x
branch-instructions,10195736625.15897-11493999452.741032,3583957491.415272-3883112443.2847276,True,2.73x-3.08x
branch-misses,537323586.1182072-606591061.8817928,129166168.85624033-137032386.14375967,True,4.04x-4.56x
major-faults,2.820730503497928-18.07926949650207,1.2705496337456719-11.329450366254328,False,0.25x-3.07x
minor-faults,39493.70090446267-40001.39909553734,17442.548623417566-18101.951376582434,True,2.21x-2.26x
avg-memory-over-time-in-bytes,97567495.8429307-103297271.47306928,51859065.97600761-56507116.9099924,True,1.79x-1.92x
max-memory-over-time-in-bytes,118024673.78329584-123838391.81670415,61569535.07451872-66088858.525481276,True,1.84x-1.95x
CPU-total-utilization-percentage,29.774667761810647-30.821332238189356,53.08519141659491-57.127808583405084,True,1.75x-1.89x
CPU-user-utilization-percentage,29.617445567669492-30.711554432330516,51.4610144805255-55.33498551947451,True,1.70x-1.84x
CPU-system-utilization-percentage,0.2874193725305356-0.3485806274694643,1.2884558470272545-1.4675441529727462,True,4.04x-4.63x
instructions-per-cycle,0.89680590784235-0.9719421492833757,1.0908052034710902-1.1351703425603175,True,1.15x-1.24x
cycles-per-instruction,1.0329124175127087-1.1232638920976543,0.8822059589098855-0.9178353934784363,True,1.14x-1.25x
