"metric","native-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","3,733,825,636.09-5,454,085,028.01","5,184,410,580.92-8,278,438,454.38","True","1.09x-1.84x"
"instructions","2,703,785,952.34-3,984,249,942.06","3,701,832,412.95-5,145,273,979.55","True","1.04x-1.60x"
"cache-misses","10,632,977.13-17,346,756.37","14,375,226.96-25,047,342.24","False","0.97x-1.85x"
"cache-references","645,376,174.11-966,077,705.59","826,570,812.75-1,322,445,147.85","False","0.98x-1.69x"
"bus-cycles","1,878,806,208.70-3,011,907,439.50","2,267,414,620.74-3,445,217,321.56","False","0.84x-1.49x"
"page-faults","37,827.59-39,510.31","57,316.72-60,226.08","True","1.48x-1.56x"
"branch-instructions","267,121,917.71-406,945,486.69","287,488,772.16-436,721,023.74","False","0.78x-1.37x"
"branch-misses","26,103,841.08-39,311,342.62","30,209,428.12-46,641,450.08","False","0.86x-1.49x"
"major-faults","-2.44-83.34","13.23-68.97","False","-0.21x-2.25x"
"minor-faults","37,801.07-39,455.93","57,283.74-60,176.26","True","1.48x-1.56x"
"avg-memory-over-time-in-bytes","70,423,597.41-88,223,316.30","91,522,893.29-109,890,704.58","True","1.11x-1.43x"
"max-memory-over-time-in-bytes","130,228,256.28-147,174,572.52","178,919,695.97-189,550,320.03","True","1.26x-1.40x"
"cpu-total-utilization-percentage","21.61-29.49","21.76-27.73","False","0.84x-1.23x"
"cpu-user-utilization-percentage","18.49-26.02","19.30-24.21","False","0.82x-1.22x"
"cpu-system-utilization-percentage","2.31-3.17","3.18-3.93","True","1.10x-1.50x"
"instructions-per-cycle","0.62-0.90","0.61-0.84","False","0.81x-1.28x"
"cycles-per-instruction","1.26-1.62","1.14-2.13","False","0.78x-1.49x"
"wall-time-seconds","3.17-3.33","3.87-3.93","True","1.17x-1.23x"
