"metric","wasm_interpreted-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","303,340,543,431.20-347,050,741,594.50","7,019,842,546.22-10,163,574,788.16","True","35.30x-40.40x"
"instructions","254,325,017,411.57-276,663,328,640.93","7,841,216,066.15-9,939,113,365.80","True","28.60x-31.12x"
"cache-misses","121,931,926.23-141,722,031.57","17,109,525.69-22,509,283.08","True","6.14x-7.17x"
"cache-references","174,923,781,644.28-191,616,953,140.72","1,822,554,038.00-2,309,744,175.95","True","84.66x-92.74x"
"bus-cycles","147,323,387,665.80-166,563,242,491.20","3,358,602,780.41-4,458,194,080.66","True","37.69x-42.62x"
"page-faults","63,493.10-67,203.80","39,591.18-41,318.65","True","1.57x-1.66x"
"branch-instructions","28,437,983,713.16-31,572,440,583.14","771,364,376.16-976,844,497.79","True","32.53x-36.12x"
"branch-misses","1,806,026,069.23-1,996,856,236.17","45,627,005.35-70,740,669.47","True","31.03x-34.33x"
"major-faults","-2.41-169.21","86.32-304.08","False","0.73x-3.95x"
"minor-faults","63,430.35-67,099.65","39,444.85-41,038.79","True","1.57x-1.67x"
"avg-memory-over-time-in-bytes","157,599,927.95-172,137,802.89","74,902,004.13-91,040,634.23","True","1.86x-2.11x"
"max-memory-over-time-in-bytes","203,003,535.82-222,880,112.18","139,572,712.42-165,870,513.18","True","1.29x-1.50x"
"cpu-total-utilization-percentage","24.56-25.00","20.00-25.90","False","0.95x-1.21x"
"cpu-user-utilization-percentage","24.53-24.98","16.97-22.77","True","1.10x-1.39x"
"cpu-system-utilization-percentage","0.04-0.06","2.86-3.28","True","61.40x-70.60x"
"instructions-per-cycle","0.78-0.87","0.94-1.33","True","1.13x-1.61x"
"cycles-per-instruction","1.14-1.32","0.85-1.08","True","1.13x-1.43x"
"wall-time-seconds","265.18-265.33","4.48-4.55","True","58.75x-58.79x"
