"metric","wasm_interpreted-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","303,340,543,431.20-347,050,741,594.50","5,184,410,580.92-8,278,438,454.38","True","45.06x-51.56x"
"instructions","254,325,017,411.57-276,663,328,640.93","3,701,832,412.95-5,145,273,979.55","True","57.49x-62.55x"
"cache-misses","121,931,926.23-141,722,031.57","14,375,226.96-25,047,342.24","True","6.13x-7.25x"
"cache-references","174,923,781,644.28-191,616,953,140.72","826,570,812.75-1,322,445,147.85","True","162.79x-178.33x"
"bus-cycles","147,323,387,665.80-166,563,242,491.20","2,267,414,620.74-3,445,217,321.56","True","51.57x-58.32x"
"page-faults","63,493.10-67,203.80","57,316.72-60,226.08","True","1.07x-1.15x"
"branch-instructions","28,437,983,713.16-31,572,440,583.14","287,488,772.16-436,721,023.74","True","78.53x-87.20x"
"branch-misses","1,806,026,069.23-1,996,856,236.17","30,209,428.12-46,641,450.08","True","46.99x-51.97x"
"major-faults","-2.41-169.21","13.23-68.97","False","-0.14x-4.20x"
"minor-faults","63,430.35-67,099.65","57,283.74-60,176.26","True","1.07x-1.15x"
"avg-memory-over-time-in-bytes","157,599,927.95-172,137,802.89","91,522,893.29-109,890,704.58","True","1.52x-1.75x"
"max-memory-over-time-in-bytes","203,003,535.82-222,880,112.18","178,919,695.97-189,550,320.03","True","1.10x-1.22x"
"cpu-total-utilization-percentage","24.56-25.00","21.76-27.73","False","0.88x-1.12x"
"cpu-user-utilization-percentage","24.53-24.98","19.30-24.21","True","1.02x-1.25x"
"cpu-system-utilization-percentage","0.04-0.06","3.18-3.93","True","68.46x-84.42x"
"instructions-per-cycle","0.78-0.87","0.61-0.84","False","0.97x-1.31x"
"cycles-per-instruction","1.14-1.32","1.14-2.13","False","0.92x-1.73x"
"wall-time-seconds","265.18-265.33","3.87-3.93","True","67.94x-67.98x"
