"metric","docker-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","10,943,533,374.07-13,605,536,145.85","69,652,169,290.91-76,511,428,251.99","True","5.66x-6.25x"
"instructions","11,331,223,150.45-14,237,535,669.05","58,435,098,479.25-65,851,082,831.95","True","4.55x-5.17x"
"cache-misses","32,201,983.20-38,140,683.26","49,282,690.47-59,142,973.13","True","1.38x-1.70x"
"cache-references","2,705,214,026.74-3,511,228,462.38","38,395,261,256.55-41,840,688,068.65","True","12.34x-13.47x"
"bus-cycles","5,448,769,548.88-6,665,838,600.12","37,332,881,975.82-41,124,400,486.38","True","6.15x-6.80x"
"page-faults","38,991.88-41,403.65","108,031.24-108,889.16","True","2.67x-2.73x"
"branch-instructions","1,355,954,302.38-1,732,940,535.13","6,725,370,954.21-7,678,861,166.59","True","4.34x-4.99x"
"branch-misses","78,268,105.49-100,628,844.61","510,654,569.86-566,207,912.14","True","5.69x-6.35x"
"major-faults","153.20-437.13","94.08-233.02","False","0.86x-2.75x"
"minor-faults","38,738.14-41,000.19","107,898.92-108,692.38","True","2.69x-2.75x"
"avg-memory-over-time-in-bytes","108,271,290.51-132,497,797.37","246,203,332.88-267,515,955.03","True","2.00x-2.26x"
"max-memory-over-time-in-bytes","167,387,151.07-209,832,740.13","343,899,252.70-368,538,916.90","True","1.76x-2.02x"
"cpu-total-utilization-percentage","23.05-32.80","24.63-25.51","False","0.92x-1.31x"
"cpu-user-utilization-percentage","20.48-29.73","24.23-25.06","False","0.83x-1.21x"
"cpu-system-utilization-percentage","2.47-3.07","0.46-0.50","True","5.15x-6.41x"
"instructions-per-cycle","0.95-1.18","0.79-0.92","True","1.09x-1.39x"
"cycles-per-instruction","0.89-1.08","1.11-1.28","True","1.09x-1.33x"
"wall-time-seconds","4.73-5.29","58.09-58.23","True","11.55x-11.66x"
