"metric","wasm_interpreted-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","69,652,169,290.91-76,511,428,251.99","7,496,658,746.49-9,798,200,757.01","True","8.04x-8.86x"
"instructions","58,435,098,479.25-65,851,082,831.95","5,201,782,758.71-7,088,729,166.39","True","9.49x-10.73x"
"cache-misses","49,282,690.47-59,142,973.13","22,578,831.92-30,647,030.68","True","1.81x-2.27x"
"cache-references","38,395,261,256.55-41,840,688,068.65","1,397,064,150.27-1,812,966,170.83","True","23.92x-26.07x"
"bus-cycles","37,332,881,975.82-41,124,400,486.38","3,988,923,106.92-5,035,090,318.78","True","8.26x-9.13x"
"page-faults","108,031.24-108,889.16","101,453.78-102,619.82","True","1.06x-1.07x"
"branch-instructions","6,725,370,954.21-7,678,861,166.59","588,970,813.50-785,718,173.70","True","9.77x-11.18x"
"branch-misses","510,654,569.86-566,207,912.14","45,572,205.03-62,433,868.37","True","9.44x-10.50x"
"major-faults","94.08-233.02","35.16-110.34","True","1.19x-3.31x"
"minor-faults","107,898.92-108,692.38","101,408.45-102,521.65","True","1.06x-1.07x"
"avg-memory-over-time-in-bytes","246,203,332.88-267,515,955.03","180,879,757.50-211,179,082.52","True","1.22x-1.40x"
"max-memory-over-time-in-bytes","343,899,252.70-368,538,916.90","304,731,271.25-331,912,875.95","True","1.06x-1.17x"
"cpu-total-utilization-percentage","24.63-25.51","25.47-34.68","True","1.02x-1.38x"
"cpu-user-utilization-percentage","24.23-25.06","21.13-29.75","False","0.86x-1.21x"
"cpu-system-utilization-percentage","0.46-0.50","3.78-4.53","True","7.87x-9.44x"
"instructions-per-cycle","0.79-0.92","0.67-0.75","True","1.10x-1.31x"
"cycles-per-instruction","1.11-1.28","1.35-1.51","True","1.10x-1.29x"
"wall-time-seconds","58.09-58.23","4.10-4.55","True","13.39x-13.50x"
