"metric","docker-value","native-value","statistically-significant","effect-size"
"cpu-cycles","11,444,141,014.43-13,507,178,308.05","6,031,124,249.81-8,256,008,024.59","True","1.54x-1.95x"
"instructions","11,428,422,075.03-14,652,484,016.36","4,541,659,041.75-6,122,017,295.85","True","2.12x-2.78x"
"cache-misses","32,288,962.54-38,047,104.92","19,194,156.74-26,758,817.76","True","1.33x-1.73x"
"cache-references","2,515,442,013.03-3,463,131,549.28","1,114,536,880.37-1,456,244,313.13","True","1.94x-2.71x"
"bus-cycles","5,497,114,657.22-6,700,586,762.48","2,891,408,772.17-3,861,256,075.63","True","1.58x-2.03x"
"page-faults","39,210.47-41,029.80","36,897.96-38,759.44","True","1.03x-1.09x"
"branch-instructions","1,283,261,718.19-1,684,854,692.86","528,158,283.06-689,862,382.44","True","2.09x-2.79x"
"branch-misses","75,315,512.94-92,101,336.95","44,649,594.25-59,268,973.55","True","1.40x-1.82x"
"major-faults","232.49-468.19","12.07-45.23","True","8.08x-16.37x"
"minor-faults","38,856.66-40,651.33","36,887.77-38,744.53","True","1.02x-1.08x"
"avg-memory-over-time-in-bytes","113,930,046.69-134,600,684.22","97,893,254.90-117,502,912.78","True","1.03x-1.28x"
"max-memory-over-time-in-bytes","180,206,390.64-221,170,070.16","158,255,416.14-187,333,115.06","True","1.02x-1.30x"
"cpu-total-utilization-percentage","22.02-28.82","23.68-36.60","False","0.91x-1.47x"
"cpu-user-utilization-percentage","19.61-26.09","20.78-32.14","False","0.88x-1.44x"
"cpu-system-utilization-percentage","2.27-2.77","2.36-3.01","False","0.91x-1.22x"
"instructions-per-cycle","0.95-1.15","0.71-0.80","True","1.24x-1.53x"
"cycles-per-instruction","0.90-1.08","1.26-1.42","True","1.24x-1.47x"
"wall-time-seconds","4.81-5.31","3.18-3.43","True","1.45x-1.61x"
