"metric","docker-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","11,444,141,014.43-13,507,178,308.05","70,743,086,128.78-76,030,147,794.22","True","5.66x-6.11x"
"instructions","11,428,422,075.03-14,652,484,016.36","59,751,601,504.14-66,819,340,890.86","True","4.56x-5.15x"
"cache-misses","32,288,962.54-38,047,104.92","51,258,885.74-58,505,834.76","True","1.43x-1.69x"
"cache-references","2,515,442,013.03-3,463,131,549.28","38,265,225,009.02-43,054,671,142.38","True","12.79x-14.41x"
"bus-cycles","5,497,114,657.22-6,700,586,762.48","35,997,723,564.51-40,614,988,541.59","True","5.89x-6.67x"
"page-faults","39,210.47-41,029.80","108,540.42-109,449.08","True","2.69x-2.74x"
"branch-instructions","1,283,261,718.19-1,684,854,692.86","6,751,227,661.90-7,516,686,313.70","True","4.52x-5.09x"
"branch-misses","75,315,512.94-92,101,336.95","487,351,431.75-559,410,663.45","True","5.81x-6.69x"
"major-faults","232.49-468.19","131.82-209.48","True","1.33x-2.77x"
"minor-faults","38,856.66-40,651.33","108,374.87-109,273.33","True","2.71x-2.76x"
"avg-memory-over-time-in-bytes","113,930,046.69-134,600,684.22","249,443,507.40-265,643,742.60","True","1.97x-2.17x"
"max-memory-over-time-in-bytes","180,206,390.64-221,170,070.16","344,876,773.07-367,431,143.73","True","1.66x-1.89x"
"cpu-total-utilization-percentage","22.02-28.82","24.99-25.86","False","0.87x-1.13x"
"cpu-user-utilization-percentage","19.61-26.09","24.60-25.47","False","0.95x-1.24x"
"cpu-system-utilization-percentage","2.27-2.77","0.42-0.49","True","4.98x-6.07x"
"instructions-per-cycle","0.95-1.15","0.83-0.90","True","1.09x-1.34x"
"cycles-per-instruction","0.90-1.08","1.12-1.22","True","1.08x-1.28x"
"wall-time-seconds","4.81-5.31","57.87-58.28","True","11.41x-11.53x"
