"metric","wasm_aot-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","7,955,966,859.29-10,553,411,175.31","70,743,086,128.78-76,030,147,794.22","True","7.62x-8.24x"
"instructions","5,651,240,785.75-7,632,977,748.05","59,751,601,504.14-66,819,340,890.86","True","8.98x-10.08x"
"cache-misses","24,801,583.45-33,609,651.75","51,258,885.74-58,505,834.76","True","1.69x-2.07x"
"cache-references","1,390,415,124.74-1,861,926,042.76","38,265,225,009.02-43,054,671,142.38","True","23.53x-26.48x"
"bus-cycles","4,166,387,920.49-5,464,867,820.01","35,997,723,564.51-40,614,988,541.59","True","7.46x-8.45x"
"page-faults","100,921.86-102,619.94","108,540.42-109,449.08","True","1.06x-1.08x"
"branch-instructions","699,377,529.58-947,909,454.82","6,751,227,661.90-7,516,686,313.70","True","8.18x-9.14x"
"branch-misses","54,165,688.76-72,760,295.44","487,351,431.75-559,410,663.45","True","7.67x-8.83x"
"major-faults","64.31-238.49","131.82-209.48","False","0.51x-1.75x"
"minor-faults","100,788.61-102,454.79","108,374.87-109,273.33","True","1.06x-1.08x"
"avg-memory-over-time-in-bytes","168,509,241.74-190,664,177.66","249,443,507.40-265,643,742.60","True","1.36x-1.51x"
"max-memory-over-time-in-bytes","306,346,031.78-331,623,990.62","344,876,773.07-367,431,143.73","True","1.07x-1.17x"
"cpu-total-utilization-percentage","27.40-36.87","24.99-25.86","True","1.08x-1.45x"
"cpu-user-utilization-percentage","23.12-31.50","24.60-25.47","False","0.92x-1.26x"
"cpu-system-utilization-percentage","4.17-5.05","0.42-0.49","True","9.13x-11.07x"
"instructions-per-cycle","0.68-0.76","0.83-0.90","True","1.12x-1.27x"
"cycles-per-instruction","1.32-1.49","1.12-1.22","True","1.12x-1.29x"
"wall-time-seconds","4.25-4.61","57.87-58.28","True","13.05x-13.17x"
