deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,CPU-total-utilization-percentage,CPU-user-utilization-percentage,CPU-system-utilization-percentage
native,1,2025-03-30T21:35:59.889432+00:00,21768605542.0,21937174824.0,34084878.0,4387314005.0,10837817801.0,19391.0,3215243793.0,117287251.0,334.0,19057.0,111864490.67,112205824.0,24.72,23.94,0.78
wasm_interpreted,1,2025-03-30T21:36:33.644967+00:00,92161689133.0,78180462300.0,66315707.0,42809983126.0,46791431358.0,39115.0,9748530244.0,550318383.0,208.0,38907.0,118891030.26,139845632.0,30.32,29.93,0.34
docker_container,1,2025-03-30T21:38:05.961362+00:00,54774943372.0,68319119404.0,55007452.0,11267291793.0,25573223718.0,18890.0,10197407992.0,134214381.0,552.0,18338.0,115653222.4,132038656.0,46.61,44.47,2.14
docker_container_and_daemon,1,2025-03-30T21:38:05.961362+00:00,56805718660.96,69231697466.69,56295937.21,11487956519.62,26404461443.6,20784.36,10278198129.49,143274928.13,556.15,20227.16,156229336.18,236793856.0,46.83,44.56,2.27
docker_container_and_daemon_extra_overhead,1,2025-03-30T21:38:05.961362+00:00,56803582759.96,69231360772.69,56283269.21,11487871321.62,26403359019.6,20784.36,10278176055.49,143267017.13,556.15,20227.16,117661400.18,132038656.0,46.83,44.56,2.27
wasm_interpreted,2,2025-03-30T21:39:12.646315+00:00,100179550985.0,76771001376.0,61636924.0,39207227038.0,45918812971.0,40120.0,9815953850.0,558693701.0,158.0,39962.0,116682141.96,138989568.0,30.36,29.95,0.4
native,2,2025-03-30T21:40:44.962899+00:00,18398556235.0,19762976940.0,29898454.0,4171120114.0,9391137208.0,18601.0,3112559000.0,121398524.0,15.0,18586.0,72551628.8,76828672.0,44.33,42.87,1.21
wasm_aot,1,2025-03-30T21:41:16.655783+00:00,25201826820.0,27438989729.0,37689500.0,5158743279.0,12231520643.0,33034.0,3984725977.0,134215498.0,24.0,33010.0,76342272.0,97579008.0,59.98,57.86,1.91
docker_container,2,2025-03-30T21:41:48.556937+00:00,53257003410.0,68841419306.0,52018485.0,11677042778.0,26186908458.0,17215.0,10634373063.0,155546491.0,453.0,16763.0,103330377.14,118521856.0,44.58,42.45,2.12
docker_container_and_daemon,2,2025-03-30T21:41:48.556937+00:00,54481504007.23,69207621051.54,52262230.27,12283295971.0,27426314714.04,17221.42,10856015403.73,157116318.36,453.0,16769.42,144012668.34,223277056.0,44.629999999999995,42.470000000000006,2.15
docker_container_and_daemon_extra_overhead,2,2025-03-30T21:41:48.556937+00:00,54475431742.23,68909363726.54,52238989.27,12204148042.0,27423555671.04,17221.42,10855836513.73,157089183.36,453.0,16769.42,105858428.34,118521856.0,44.629999999999995,42.470000000000006,2.15
native,3,2025-03-30T21:42:57.258623+00:00,24573307227.0,28069923414.0,34373219.0,5350923426.0,12531731613.0,16778.0,4048460960.0,126452890.0,106.0,16672.0,64658870.86,66859008.0,53.13,59.48,1.15
native,4,2025-03-30T21:43:29.752755+00:00,23678279135.0,28121743880.0,35775249.0,5351421591.0,12265648996.0,18446.0,4165178835.0,140132148.0,0.0,18446.0,59833782.86,62742528.0,63.28,61.62,1.4
native,5,2025-03-30T21:44:01.536249+00:00,20890483479.0,21849433264.0,31259506.0,4191300344.0,10622959957.0,16935.0,3263987242.0,131092831.0,0.0,16935.0,54602410.67,59265024.0,48.02,46.76,1.03
native,6,2025-03-30T21:44:32.643773+00:00,24128372932.0,25009384050.0,33605729.0,4742807739.0,11333326433.0,18062.0,3636545664.0,136854255.0,0.0,18062.0,50712576.0,61218816.0,63.17,61.29,1.77
docker_container,3,2025-03-30T21:45:03.738252+00:00,53805773494.0,67204074630.0,51602147.0,11733781759.0,25566383426.0,18198.0,10307799833.0,135189441.0,0.0,18195.0,59047289.26,64135168.0,49.95,47.8,2.15
docker_container_and_daemon,3,2025-03-30T21:45:03.738252+00:00,54894541879.55,68812613660.64,52767699.2,12779732579.68,26896170952.83,18849.46,10613024867.4,137999977.59,2.14,18842.18,99842726.44,168890368.0,50.18,47.879999999999995,2.3
docker_container_and_daemon_extra_overhead,3,2025-03-30T21:45:03.738252+00:00,54891871838.55,68486723407.64,52756185.2,12663476556.68,26894893286.83,18849.46,10564138114.4,137987894.59,2.14,18842.18,61692582.44,64135168.0,50.18,47.879999999999995,2.3
docker_container,4,2025-03-30T21:46:07.687041+00:00,57920578538.0,72655308508.0,53327681.0,12991397194.0,28137932385.0,16267.0,11130916685.0,136862632.0,0.0,16267.0,65247914.67,72540160.0,50.42,48.26,2.15
docker_container_and_daemon,4,2025-03-30T21:46:07.687041+00:00,58772869386.93,75204435950.5,53570480.64,14147312330.07,30381662318.57,16267.0,11540962646.43,139290475.21,0.0,16267.0,106711449.6,177295360.0,50.47,48.269999999999996,2.1799999999999997
docker_container_and_daemon_extra_overhead,4,2025-03-30T21:46:07.687041+00:00,58764881867.93,75202426955.5,53535319.64,14146597319.07,30377614058.57,16267.0,11540779438.43,139233421.21,0.0,16267.0,66021785.6,72540160.0,50.46,48.269999999999996,2.1799999999999997
