deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,CPU-total-utilization-percentage,CPU-user-utilization-percentage,CPU-system-utilization-percentage
docker_container,1,2025-03-30T19:54:51.946783+00:00,31210601616.0,33347102449.0,34126540.0,5869159734.0,14810245348.0,17222.0,5477657490.0,157273557.0,537.0,16685.0,101938380.8,129200128.0,38.73,36.86,1.82
docker_container_and_daemon,1,2025-03-30T19:54:51.946783+00:00,31662760890.74,33559493016.13,35383036.77,5970363212.34,15082137107.32,20455.28,5526854533.38,160516300.66,542.48,19901.37,142963544.44,233955328.0,39.129999999999995,37.03,2.06
docker_container_and_daemon_extra_overhead,1,2025-03-30T19:54:51.946783+00:00,31662068071.74,33559421445.13,35379768.77,5970352238.34,15081844027.32,20455.28,5526453558.38,160516300.66,542.48,19901.37,105837400.44,129200128.0,39.129999999999995,37.03,2.06
wasm_aot,1,2025-03-30T19:56:02.869108+00:00,23735723433.0,23733835745.0,29074897.0,4317038323.0,10897186522.0,33306.0,3461575648.0,157167580.0,728.0,32578.0,141468672.0,180719616.0,36.17,34.41,1.73
wasm_interpreted,1,2025-03-30T19:56:37.256495+00:00,85648578464.0,77047260063.0,50463500.0,37253382377.0,41191331087.0,40719.0,9122522274.0,571537278.0,18.0,40701.0,96760307.51,118554624.0,27.85,27.6,0.25
wasm_interpreted,2,2025-03-30T19:58:01.718722+00:00,108388586327.0,85512718882.0,61477845.0,37746022774.0,42369900192.0,39514.0,8219131426.0,526445847.0,44.0,39470.0,117211322.18,140652544.0,27.72,27.43,0.28
docker_container,2,2025-03-30T19:59:27.568414+00:00,32859190419.0,38536884174.0,41937725.0,7090679000.0,16778060989.0,18683.0,6570352309.0,175158820.0,533.0,18151.0,92724906.67,113205248.0,42.82,40.77,2.05
docker_container_and_daemon,2,2025-03-30T19:59:27.568414+00:00,33631726565.35,39836148118.55,54707684.92,7764006793.42,17925464330.68,18913.51,6813397852.35,191282993.94,536.41,18374.7,129774104.38,217960448.0,43.04,40.88,2.1599999999999997
docker_container_and_daemon_extra_overhead,2,2025-03-30T19:59:27.568414+00:00,33223161344.35,39599488257.55,53648884.92,7647072795.42,17605464634.68,18868.51,6788777477.35,190249700.94,536.41,18329.7,95361969.98,113205248.0,42.92,40.77,2.1599999999999997
native,1,2025-03-30T20:00:17.819772+00:00,20805729420.0,22399312962.0,30006888.0,4085357619.0,11097545389.0,16834.0,3352472643.0,145546979.0,20.0,16814.0,61128704.0,79257600.0,57.44,54.49,1.65
wasm_aot,2,2025-03-30T20:00:48.141556+00:00,23653847298.0,24614823196.0,32870887.0,4906238334.0,13201219318.0,33145.0,4148451774.0,143583961.0,0.0,33145.0,73083562.67,97935360.0,61.72,58.74,2.05
wasm_interpreted,3,2025-03-30T20:01:18.255320+00:00,94114356761.0,82210774594.0,51142435.0,42807060209.0,48230890770.0,39814.0,10481083306.0,502008505.0,0.0,39814.0,108084676.47,126423040.0,28.96,28.81,0.15
wasm_interpreted,4,2025-03-30T20:02:45.627446+00:00,95607027029.0,92266007924.0,62601431.0,46371111862.0,41474790132.0,39869.0,10199130455.0,530354612.0,44.0,39825.0,112740441.04,131026944.0,29.94,29.7,0.24
wasm_interpreted,5,2025-03-30T20:04:14.291550+00:00,88766157469.0,74995672069.0,57859755.0,39849869149.0,48491440650.0,39117.0,10562690262.0,675654450.0,5.0,39112.0,104554131.91,126648320.0,30.76,30.42,0.33
docker_container,3,2025-03-30T20:05:42.544125+00:00,53259823324.0,67407736283.0,49775197.0,11349338740.0,24820306566.0,16295.0,10107341746.0,133514618.0,1.0,16292.0,63865287.11,71450624.0,46.3,44.35,1.93
docker_container_and_daemon,3,2025-03-30T20:05:42.544125+00:00,56374082797.48,69157638943.67,53522903.56,12226568528.28,27420371835.06,17595.43,10468169787.33,155159835.4,9.35,17577.82,100932266.67,176205824.0,46.57,44.46,2.09
docker_container_and_daemon_extra_overhead,3,2025-03-30T20:05:42.544125+00:00,56372716349.48,68132306796.67,53511564.56,11966717116.28,27419664701.06,17595.43,10359403632.33,155156313.4,9.35,17577.82,68078250.67,71450624.0,46.57,44.46,2.09
native,2,2025-03-30T20:06:46.289976+00:00,22913316624.0,24490244673.0,34030876.0,4862272363.0,12419925865.0,17770.0,4134303407.0,138324376.0,18.0,17752.0,50767579.43,61444096.0,61.91,59.72,1.57
wasm_aot,3,2025-03-30T20:07:17.302054+00:00,21730798601.0,22457618865.0,34248959.0,4618872364.0,11511655223.0,32993.0,3763374584.0,128295775.0,0.0,32993.0,74231222.86,95584256.0,51.4,49.16,1.77
docker_container,4,2025-03-30T20:07:48.342996+00:00,49908890223.0,62006549381.0,48785428.0,11383310951.0,25755909751.0,16399.0,10751378046.0,149389401.0,0.0,16299.0,65784263.11,73416704.0,49.93,47.69,2.23
docker_container_and_daemon,4,2025-03-30T20:07:48.342996+00:00,50574609818.26,63193555542.94,49589664.82,12215373837.95,26622084702.62,17081.6,11018330768.86,154288459.85,3.2,16976.26,104040180.28999999,178171904.0,50.11,47.73,2.37
docker_container_and_daemon_extra_overhead,4,2025-03-30T20:07:48.342996+00:00,49908890223.0,62201243900.94,48785428.0,12028855077.95,25755909751.0,17081.6,10751378046.0,153905937.85,3.2,16976.26,66520820.29,73416704.0,49.99,47.69,2.33
native,3,2025-03-30T20:08:48.833398+00:00,24086784640.0,27437828143.0,36213083.0,5374017438.0,12312994053.0,18559.0,3980368583.0,139297624.0,31.0,18528.0,66696923.43,71815168.0,60.95,59.52,1.23
