deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
native,1,2025-04-02T15:33:47.055578+00:00,14009329515.0,10350666618.0,30369746.0,2068829856.0,6368596529.0,50816.0,1201013870.0,78971186.0,81.0,50735.0,134126080.0,254537728.0,18.95,17.12,1.84
wasm_interpreted,1,2025-04-02T15:35:00.642476+00:00,300646254543.0,232448985232.0,120487025.0,161152154016.0,138457402232.0,110299.0,27495640748.0,1664979411.0,360.0,109939.0,255097044.63,344211456.0,24.88,24.82,0.11
wasm_aot,1,2025-04-02T15:39:55.572134+00:00,5719036921.0,4610735608.0,15781399.0,1355512056.0,3360087284.0,95966.0,387867564.0,25764275.0,214.0,95747.0,201636132.57,388042752.0,27.41,24.31,2.99
wasm_aot,2,2025-04-02T15:40:26.516746+00:00,11923119509.0,7933468108.0,38744820.0,3038047454.0,6509195094.0,101081.0,734420897.0,63181963.0,12.0,101069.0,189536256.0,294281216.0,43.04,38.6,3.61
wasm_aot,3,2025-04-02T15:40:53.177093+00:00,8435569326.0,7535562366.0,27911072.0,1769892496.0,2992566763.0,100886.0,471848518.0,28516807.0,0.0,100878.0,168857600.0,298999808.0,23.61,19.21,4.4
wasm_interpreted,2,2025-04-02T15:41:20.342314+00:00,328630018529.0,262771408747.0,157692280.0,198956573474.0,175575053204.0,108169.0,31047229422.0,1999469696.0,53.0,108116.0,242119331.16,331825152.0,25.0,24.9,0.11
native,2,2025-04-02T15:46:16.655855+00:00,12464654727.0,6287585421.0,24266720.0,1480845411.0,3832672936.0,50665.0,611959626.0,47563543.0,21.0,50644.0,94038425.6,202399744.0,27.09,24.15,2.57
wasm_interpreted,3,2025-04-02T15:46:44.390347+00:00,348817256799.0,237783257831.0,156523397.0,163067756968.0,159891783094.0,107248.0,24048220764.0,1994646669.0,0.0,107248.0,227553324.28,314757120.0,25.03,24.99,0.04
wasm_interpreted,4,2025-04-02T15:51:45.328963+00:00,357705153518.0,251840469183.0,156074317.0,175579069471.0,153562722641.0,108089.0,28994643169.0,1979564496.0,0.0,108089.0,285979981.91,376967168.0,24.97,24.87,0.09
native,3,2025-04-02T15:56:55.553670+00:00,8258362543.0,6689882537.0,19570289.0,1432430620.0,4074623170.0,50511.0,642152598.0,43456660.0,41.0,50470.0,112101376.0,190914560.0,24.71,21.59,2.69
native,4,2025-04-02T15:57:23.410648+00:00,6413527159.0,4729910048.0,16990675.0,1305825017.0,4292514042.0,50523.0,604288838.0,32679388.0,0.0,50523.0,93392896.0,160784384.0,29.46,24.98,3.16
wasm_interpreted,5,2025-04-02T15:57:49.327998+00:00,287227458576.0,300837116609.0,192347625.0,220904505414.0,212798979048.0,107534.0,37659665386.0,2288163196.0,83.0,107451.0,228933674.45,317394944.0,25.12,25.11,0.11
native,5,2025-04-02T16:02:59.353061+00:00,6414069928.0,5086763301.0,20901112.0,1386816663.0,3041208203.0,50471.0,487575818.0,27667066.0,5.0,50466.0,113875353.6,214753280.0,17.63,15.45,2.25
wasm_aot,4,2025-04-02T16:03:27.678395+00:00,9429434269.0,7384582979.0,26756297.0,1473098936.0,3685863121.0,101626.0,662746009.0,39768352.0,47.0,101579.0,217011541.33,297455616.0,23.98,22.46,1.52
wasm_aot,5,2025-04-02T16:03:55.494419+00:00,6804694184.0,5204290647.0,15227500.0,1549018888.0,4392317161.0,101456.0,875844760.0,47445114.0,69.0,101387.0,226964138.67,360988672.0,17.55,14.63,2.88
docker_container,1,2025-04-02T16:04:26.584258+00:00,11039591916.0,8938112501.0,28574722.0,1907096355.0,6104985081.0,50668.0,1535636983.0,120411064.0,497.0,50172.0,120820297.14,229859328.0,15.79,14.25,1.43
docker_container_and_daemon,1,2025-04-02T16:04:26.584258+00:00,12050127010.62,11482494051.24,41658900.45,2805554598.9700003,7791665583.22,54349.94,2121449047.6100001,130980566.26,769.27,53439.91,164238269.5,334614528.0,16.71,14.42,2.1799999999999997
docker_container_and_daemon_extra_overhead,1,2025-04-02T16:04:26.584258+00:00,12050127010.62,11482494051.24,41658900.45,2805554598.9700003,7791665583.22,54349.94,2121449047.6100001,130980566.26,769.27,53439.91,147936189.5,229859328.0,16.71,14.42,2.1799999999999997
native,6,2025-04-02T16:05:16.869991+00:00,10172268711.0,8075207950.0,30680926.0,1893556883.0,6433272626.0,51278.0,1219610529.0,78406584.0,502.0,50776.0,165288618.67,257892352.0,25.96,23.44,2.32
docker_container,2,2025-04-02T16:05:47.357672+00:00,13960654039.0,11203504541.0,45533570.0,2627687389.0,7940054710.0,50476.0,1331173277.0,96982555.0,452.0,50025.0,126458148.57,225284096.0,31.57,28.86,2.71
docker_container_and_daemon,2,2025-04-02T16:05:47.357672+00:00,14649011620.8,14337393659.81,48185686.24,3664250688.92,10127703547.119999,50581.59,1912366712.46,121467990.75,456.85,50122.1,180443428.57,330039296.0,31.96,28.97,2.98
docker_container_and_daemon_extra_overhead,2,2025-04-02T16:05:47.357672+00:00,14648137197.8,13711902074.81,48178309.24,3427824886.92,9998823137.119999,50581.59,1897031089.46,121463152.75,456.85,50122.1,127355172.57,225284096.0,31.96,28.97,2.98
native,7,2025-04-02T16:06:29.801217+00:00,7668995062.0,6141601345.0,16728301.0,1074663499.0,2882819372.0,51842.0,459917003.0,33909232.0,30.0,51812.0,119597465.6,225558528.0,19.31,16.73,2.42
wasm_interpreted,6,2025-04-02T16:06:58.391090+00:00,336883707299.0,326860324499.0,158113959.0,210250968555.0,153117827145.0,111861.0,32476304489.0,1699685719.0,172.0,111689.0,232734210.65,320589824.0,25.06,24.95,0.11
docker_container,3,2025-04-02T16:12:03.480839+00:00,9006445275.0,8534938311.0,28013983.0,1984663219.0,5281825415.0,50781.0,1245852083.0,74620474.0,525.0,50257.0,165600768.0,292585472.0,16.28,14.27,2.01
docker_container_and_daemon,3,2025-04-02T16:12:03.480839+00:00,9601812527.82,11554652718.27,31105851.23,2834579264.31,6109325200.28,51026.31,1750826126.19,86237743.33,525.0,50501.16,218319473.78,397340672.0,16.450000000000003,14.309999999999999,2.1399999999999997
docker_container_and_daemon_extra_overhead,3,2025-04-02T16:12:03.480839+00:00,9599978738.82,11554382412.27,31091207.23,2834471251.31,6108287279.28,51026.31,1750752470.19,86222640.33,525.0,50501.16,170490481.78,292585472.0,16.44,14.309999999999999,2.13
docker_container,4,2025-04-02T16:12:49.369787+00:00,13304779099.0,11623618684.0,47258798.0,2508642703.0,7451006479.0,50011.0,1232885435.0,76491118.0,0.0,50010.0,110802534.4,161583104.0,37.93,35.06,2.87
docker_container_and_daemon,4,2025-04-02T16:12:49.369787+00:00,14766126733.5,13638710739.02,53271234.34,3146501153.58,8776964216.43,50169.07,1538547093.45,91171211.06,3.73,50164.34,164806656.0,266338304.0,38.55,35.18,3.3600000000000003
docker_container_and_daemon_extra_overhead,4,2025-04-02T16:12:49.369787+00:00,14765406208.5,13638591347.02,53266968.34,3146419200.58,8776695987.43,50169.07,1538524623.45,91167144.06,3.73,50164.34,111239168.0,161583104.0,38.55,35.18,3.3600000000000003
native,8,2025-04-02T16:13:28.859606+00:00,10001376313.0,5663003193.0,26545517.0,1453306702.0,5583000988.0,50728.0,689135902.0,67384119.0,283.0,50445.0,126867456.0,215535616.0,22.92,20.65,2.27
wasm_interpreted,7,2025-04-02T16:13:57.181313+00:00,306196328526.0,268257677580.0,171970639.0,184174221806.0,159254338228.0,108000.0,29422078431.0,1860996390.0,433.0,107567.0,258636017.56,348225536.0,25.29,25.17,0.12
wasm_aot,6,2025-04-02T16:19:06.954317+00:00,13468040391.0,10490357162.0,43255736.0,2677845044.0,6563771687.0,102448.0,959760165.0,70557573.0,317.0,102131.0,210006016.0,396111872.0,22.35,19.47,2.83
wasm_aot,7,2025-04-02T16:19:39.175731+00:00,13088285705.0,5135143527.0,20723995.0,1160280556.0,4454943924.0,102449.0,650505086.0,58616041.0,61.0,102388.0,150605824.0,299376640.0,30.74,25.76,4.58
wasm_aot,8,2025-04-02T16:20:06.392239+00:00,6300682651.0,4830302774.0,17307935.0,1187191502.0,2876924450.0,101001.0,526721961.0,46177419.0,0.0,101001.0,125046784.0,302895104.0,23.24,18.81,3.72
native,9,2025-04-02T16:20:34.168385+00:00,7087463632.0,5924080144.0,16230163.0,1222021150.0,3443017907.0,50456.0,609098119.0,30941763.0,20.0,50436.0,96923648.0,182128640.0,25.23,21.45,2.93
