"metric","native-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","8,435,310,004.74-10,682,559,861.26","315,864,844,809.49-345,321,844,535.51","True","33.04x-36.13x"
"instructions","6,261,236,461.23-8,010,627,018.27","259,233,686,296.41-292,184,788,414.09","True","36.33x-40.95x"
"cache-misses","22,353,889.16-28,765,427.64","144,973,343.17-163,682,916.53","True","5.66x-6.42x"
"cache-references","1,411,479,600.77-1,691,862,364.93","180,237,649,497.53-204,535,476,253.07","True","116.16x-131.82x"
"bus-cycles","4,034,412,495.17-5,059,420,594.53","156,616,499,214.26-175,999,475,259.54","True","34.44x-38.71x"
"page-faults","50,376.53-50,919.67","107,868.10-109,029.80","True","2.13x-2.15x"
"branch-instructions","644,217,709.95-845,965,511.25","29,099,310,309.68-33,315,415,675.32","True","39.05x-44.72x"
"branch-misses","43,876,210.58-62,380,533.42","1,807,076,773.43-2,020,017,886.97","True","34.01x-38.03x"
"major-faults","12.64-159.26","82.79-220.51","False","0.63x-2.90x"
"minor-faults","50,298.10-50,826.80","107,727.06-108,867.54","True","2.13x-2.15x"
"avg-memory-over-time-in-bytes","106,980,131.63-128,918,744.96","242,923,994.56-265,115,679.39","True","2.03x-2.28x"
"max-memory-over-time-in-bytes","186,312,938.86-215,319,931.54","331,935,096.64-355,252,461.76","True","1.62x-1.80x"
"cpu-total-utilization-percentage","24.64-31.74","24.98-25.14","False","0.98x-1.27x"
"cpu-user-utilization-percentage","21.88-28.56","24.90-25.06","False","0.88x-1.14x"
"cpu-system-utilization-percentage","2.49-2.91","0.08-0.11","True","26.81x-31.26x"
"instructions-per-cycle","0.70-0.82","0.79-0.89","True","1.00x-1.21x"
"cycles-per-instruction","1.24-1.48","1.14-1.29","True","1.01x-1.23x"
"wall-time-seconds","4.04-4.16","266.43-266.51","True","64.96x-64.99x"
