"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","9,258,639,590.82-11,909,226,468.68","13,200,027,168.17-15,779,330,011.49","True","1.20x-1.54x"
"instructions","6,730,663,518.58-8,726,271,786.32","15,221,469,131.46-18,276,172,561.81","True","1.94x-2.40x"
"cache-misses","25,815,307.32-35,812,864.38","35,080,501.43-43,184,763.83","True","1.07x-1.47x"
"cache-references","1,574,842,947.48-2,077,863,885.92","3,629,088,523.60-4,404,068,774.70","True","1.95x-2.45x"
"bus-cycles","4,340,667,565.05-5,658,724,069.35","6,077,713,485.84-7,381,868,842.63","True","1.17x-1.53x"
"page-faults","100,617.33-102,055.57","50,507.34-51,832.55","True","1.96x-2.00x"
"branch-instructions","658,205,457.40-870,970,041.90","1,801,984,743.77-2,157,472,016.61","True","2.33x-2.85x"
"branch-misses","49,122,605.72-70,152,364.28","84,820,883.92-107,883,228.22","True","1.36x-1.87x"
"major-faults","78.95-242.45","222.23-472.92","True","1.26x-3.07x"
"minor-faults","100,442.15-101,908.05","50,244.31-51,375.47","True","1.97x-2.01x"
"avg-memory-over-time-in-bytes","168,117,010.79-197,335,558.56","126,977,079.83-147,356,145.96","True","1.21x-1.46x"
"max-memory-over-time-in-bytes","318,368,349.41-353,831,535.39","200,375,352.33-243,527,828.47","True","1.39x-1.64x"
"cpu-total-utilization-percentage","23.68-31.72","22.83-31.02","False","0.82x-1.23x"
"cpu-user-utilization-percentage","21.05-28.97","20.44-28.28","False","0.81x-1.25x"
"cpu-system-utilization-percentage","2.96-3.62","2.34-2.74","True","1.15x-1.44x"
"instructions-per-cycle","0.68-0.80","1.08-1.26","True","1.44x-1.72x"
"cycles-per-instruction","1.25-1.55","0.81-0.95","True","1.41x-1.78x"
"wall-time-seconds","5.13-5.28","5.42-5.55","True","1.04x-1.07x"
