"metric","docker-value","native-value","statistically-significant","effect-size"
"cpu-cycles","10,943,533,374.07-13,605,536,145.85","6,563,347,315.85-8,897,831,183.45","True","1.37x-1.81x"
"instructions","11,331,223,150.45-14,237,535,669.05","5,060,161,174.82-6,823,002,403.68","True","1.87x-2.43x"
"cache-misses","32,201,983.20-38,140,683.26","20,556,210.37-27,606,062.43","True","1.28x-1.65x"
"cache-references","2,705,214,026.74-3,511,228,462.38","1,170,800,025.89-1,499,071,761.01","True","2.01x-2.65x"
"bus-cycles","5,448,769,548.88-6,665,838,600.12","3,298,133,939.61-4,398,969,038.59","True","1.37x-1.78x"
"page-faults","38,991.88-41,403.65","36,822.52-38,843.58","True","1.02x-1.10x"
"branch-instructions","1,355,954,302.38-1,732,940,535.13","600,628,978.32-782,488,178.88","True","1.94x-2.53x"
"branch-misses","78,268,105.49-100,628,844.61","46,961,619.60-62,753,136.60","True","1.39x-1.87x"
"major-faults","153.20-437.13","15.32-127.88","True","2.02x-6.22x"
"minor-faults","38,738.14-41,000.19","36,746.92-38,775.98","True","1.02x-1.09x"
"avg-memory-over-time-in-bytes","108,271,290.51-132,497,797.37","94,242,821.09-119,311,320.78","False","0.97x-1.29x"
"max-memory-over-time-in-bytes","167,387,151.07-209,832,740.13","155,376,652.37-189,317,312.43","False","0.94x-1.25x"
"cpu-total-utilization-percentage","23.05-32.80","29.14-43.64","False","1.00x-1.61x"
"cpu-user-utilization-percentage","20.48-29.73","24.91-37.44","False","0.94x-1.54x"
"cpu-system-utilization-percentage","2.47-3.07","2.41-3.13","False","0.84x-1.16x"
"instructions-per-cycle","0.95-1.18","0.74-0.81","True","1.22x-1.52x"
"cycles-per-instruction","0.89-1.08","1.25-1.36","True","1.21x-1.43x"
"wall-time-seconds","4.73-5.29","3.21-3.60","True","1.37x-1.57x"
