"metric","native-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","6,563,347,315.85-8,897,831,183.45","7,496,658,746.49-9,798,200,757.01","False","0.91x-1.32x"
"instructions","5,060,161,174.82-6,823,002,403.68","5,201,782,758.71-7,088,729,166.39","False","0.82x-1.24x"
"cache-misses","20,556,210.37-27,606,062.43","22,578,831.92-30,647,030.68","False","0.89x-1.32x"
"cache-references","1,170,800,025.89-1,499,071,761.01","1,397,064,150.27-1,812,966,170.83","True","1.01x-1.39x"
"bus-cycles","3,298,133,939.61-4,398,969,038.59","3,988,923,106.92-5,035,090,318.78","False","0.98x-1.36x"
"page-faults","36,822.52-38,843.58","101,453.78-102,619.82","True","2.67x-2.73x"
"branch-instructions","600,628,978.32-782,488,178.88","588,970,813.50-785,718,173.70","False","0.82x-1.19x"
"branch-misses","46,961,619.60-62,753,136.60","45,572,205.03-62,433,868.37","False","0.81x-1.22x"
"major-faults","15.32-127.88","35.16-110.34","False","0.10x-1.93x"
"minor-faults","36,746.92-38,775.98","101,408.45-102,521.65","True","2.67x-2.73x"
"avg-memory-over-time-in-bytes","94,242,821.09-119,311,320.78","180,879,757.50-211,179,082.52","True","1.66x-2.01x"
"max-memory-over-time-in-bytes","155,376,652.37-189,317,312.43","304,731,271.25-331,912,875.95","True","1.72x-1.97x"
"cpu-total-utilization-percentage","29.14-43.64","25.47-34.68","False","0.93x-1.49x"
"cpu-user-utilization-percentage","24.91-37.44","21.13-29.75","False","0.94x-1.52x"
"cpu-system-utilization-percentage","2.41-3.13","3.78-4.53","True","1.32x-1.68x"
"instructions-per-cycle","0.74-0.81","0.67-0.75","True","1.02x-1.16x"
"cycles-per-instruction","1.25-1.36","1.35-1.51","True","1.02x-1.17x"
"wall-time-seconds","3.21-3.60","4.10-4.55","True","1.19x-1.36x"
