deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-02T07:15:16.632291+00:00,12264723530.0,10821956175.0,35735636.0,2465337896.0,5924700896.0,41782.0,1379355397.0,88336553.0,510.0,41273.0,154074794.67,267575296.0,12.29,11.18,1.05
docker_container_and_daemon,1,2025-04-02T07:15:16.632291+00:00,13415557287.19,11521115891.16,39376070.77,2645610514.73,6308270559.66,45820.33,1466399206.35,91046698.65,580.5699999999999,44997.67,205774848.0,372330496.0,12.92,11.37,1.49
docker_container_and_daemon_extra_overhead,1,2025-04-02T07:15:16.632291+00:00,13415557287.19,11521115891.16,39376070.77,2645610514.73,6308270559.66,45820.33,1466399206.35,91046698.65,580.5699999999999,44997.67,182452224.0,267575296.0,12.92,11.37,1.49
docker_container,2,2025-04-02T07:16:47.521168+00:00,12456144342.0,10695596949.0,40599416.0,2145827276.0,6460401407.0,41772.0,1193998078.0,112741004.0,11.0,41740.0,91782144.0,133046272.0,37.05,33.93,3.12
docker_container_and_daemon,2,2025-04-02T07:16:47.521168+00:00,13861098041.16,11129940990.64,41011762.69,2369372964.16,6802740389.16,41849.0,1233533326.14,113032953.6,12.45,41815.55,147133440.0,237801472.0,37.48,34.02,3.47
docker_container_and_daemon_extra_overhead,2,2025-04-02T07:16:47.521168+00:00,13860295442.16,10976409390.64,41009103.69,2250984258.16,6610272035.16,41849.0,1207457946.14,113029734.6,12.45,41815.55,94946304.0,133046272.0,37.48,34.02,3.47
native,1,2025-04-02T07:17:25.948703+00:00,10363312810.0,8439089170.0,35004077.0,1884373691.0,5624821001.0,38101.0,937025630.0,68917639.0,510.0,37591.0,143515648.0,247803904.0,24.77,22.51,1.99
native,2,2025-04-02T07:17:57.081912+00:00,8787108223.0,5771929819.0,28937410.0,1421124911.0,4245978913.0,41388.0,587023292.0,54607082.0,0.0,41388.0,86296576.0,152649728.0,39.73,40.42,3.54
wasm_interpreted,1,2025-04-02T07:18:22.886857+00:00,86255509901.0,65141822347.0,54917917.0,37185376580.0,40133724331.0,109037.0,6690382209.0,512829159.0,450.0,108587.0,261988254.48,355438592.0,23.23,22.77,0.46
native,3,2025-04-02T07:19:50.474366+00:00,3879278302.0,2842243949.0,11670483.0,751330731.0,2024031376.0,34847.0,380009865.0,25725990.0,203.0,34644.0,141576192.0,228696064.0,9.54,7.42,2.12
wasm_aot,1,2025-04-02T07:20:19.529666+00:00,10035996621.0,7590141562.0,31932018.0,1862864822.0,5957216020.0,102048.0,706161215.0,63057548.0,49.0,101999.0,227393536.0,296771584.0,38.66,33.75,3.55
wasm_interpreted,2,2025-04-02T07:20:45.970118+00:00,69430469473.0,59081518869.0,60520432.0,37400869822.0,32149525920.0,109459.0,6356426399.0,479111156.0,121.0,109338.0,286957102.55,397062144.0,25.55,25.0,0.55
wasm_interpreted,3,2025-04-02T07:22:11.866845+00:00,72425905803.0,60928778041.0,45055134.0,39641140819.0,35739470108.0,108002.0,6808643605.0,548553762.0,24.0,107978.0,238399488.0,335495168.0,25.14,24.7,0.48
wasm_aot,2,2025-04-02T07:23:34.619050+00:00,7128169642.0,4253881846.0,25439538.0,1380085011.0,3635682595.0,101051.0,646964654.0,48451548.0,23.0,101028.0,143085568.0,320188416.0,24.24,19.62,4.36
docker_container,3,2025-04-02T07:24:01.919292+00:00,11633428304.0,9618066929.0,35943142.0,2034091364.0,6855244562.0,37975.0,1376024284.0,119388007.0,515.0,37460.0,114367926.86,190431232.0,23.73,21.77,1.82
docker_container_and_daemon,3,2025-04-02T07:24:01.919292+00:00,14694312887.79,11866735555.71,38353322.65,2803732904.2799997,7533330683.45,41500.01,1555049588.1399999,127391595.81,682.28,40727.46,157675446.86,295186432.0,24.91,22.04,2.73
docker_container_and_daemon_extra_overhead,3,2025-04-02T07:24:01.919292+00:00,14108227442.79,11727880020.71,38336108.65,2606577887.2799997,6855244562.0,41475.01,1535240997.1399999,127364348.81,682.28,40702.46,131211190.86,190431232.0,24.9,22.03,2.72
docker_container,4,2025-04-02T07:24:47.647468+00:00,8417285119.0,7087348141.0,32031010.0,2083738489.0,5792047306.0,37154.0,1026978261.0,50811489.0,0.0,37153.0,103872921.6,175390720.0,37.56,34.7,2.86
docker_container_and_daemon,4,2025-04-02T07:24:47.647468+00:00,8678139272.44,9047938400.7,38153376.15,2786134964.2200003,6347404989.43,37863.21,1204971689.58,58310335.64,4.73,37855.12,155018308.26999998,280145920.0,38.45,35.14,3.32
docker_container_and_daemon_extra_overhead,4,2025-04-02T07:24:47.647468+00:00,8417285119.0,8359706077.7,38149380.15,2657310745.2200003,5792047306.0,37863.21,1155937627.58,58301164.64,4.73,37855.12,105288772.27,175390720.0,38.440000000000005,35.14,3.31
native,4,2025-04-02T07:26:06.189435+00:00,9361285585.0,6011693681.0,25986084.0,1479245048.0,4968773512.0,37705.0,997377031.0,70633706.0,42.0,37663.0,105152512.0,170934272.0,38.74,35.38,2.7
wasm_aot,3,2025-04-02T07:26:32.775957+00:00,11664069220.0,8337961669.0,37063828.0,1741597633.0,5419321430.0,103938.0,736564165.0,70407101.0,116.0,103822.0,161257062.4,298983424.0,38.76,33.16,4.49
wasm_interpreted,4,2025-04-02T07:27:00.465792+00:00,62646181093.0,53520526921.0,51686741.0,39111300331.0,38225647260.0,110124.0,6622467958.0,458207904.0,143.0,109981.0,233371124.09,347541504.0,24.25,23.77,0.47
wasm_aot,4,2025-04-02T07:28:25.714616+00:00,11591014159.0,7136803525.0,27237109.0,1731176275.0,5010657901.0,103962.0,1040493413.0,72729553.0,120.0,103842.0,198742016.0,352264192.0,22.57,19.29,3.24
wasm_interpreted,5,2025-04-02T07:28:55.887040+00:00,69015794360.0,55601716874.0,52880236.0,39965647447.0,45772599561.0,108665.0,8977223370.0,606281856.0,48.0,108617.0,266689560.98,359251968.0,26.2,25.71,0.43
docker_container,5,2025-04-02T07:30:19.193080+00:00,8546244496.0,7198323145.0,25693721.0,1575676407.0,4730794076.0,37947.0,681466086.0,68307739.0,529.0,37419.0,111693824.0,226504704.0,13.54,11.77,1.67
docker_container_and_daemon,5,2025-04-02T07:30:19.193080+00:00,11377746619.54,10571823723.76,27722698.56,2170379951.64,5442091396.38,41522.46,869833799.78,70652785.39,681.04,40796.56,159087616.0,331259904.0,14.399999999999999,12.01,2.29
docker_container_and_daemon_extra_overhead,5,2025-04-02T07:30:19.193080+00:00,11376317966.54,10571425987.76,27719928.56,2042545562.6399999,4730794076.0,41522.46,767189616.78,68307739.0,681.04,40796.56,129453056.0,226504704.0,14.399999999999999,12.01,2.29
docker_container,6,2025-04-02T07:31:05.145221+00:00,10754925399.0,8609602470.0,31847190.0,1863327677.0,5728730200.0,40988.0,948727899.0,95807649.0,0.0,40987.0,101252096.0,149168128.0,33.8,31.05,2.75
docker_container_and_daemon,6,2025-04-02T07:31:05.145221+00:00,10807004584.47,12083284848.66,32144242.23,2429673313.08,5755686283.09,40988.0,1287061487.3,95988824.65,0.0,40987.0,153466538.67000002,253923328.0,34.12,31.14,2.94
docker_container_and_daemon_extra_overhead,6,2025-04-02T07:31:05.145221+00:00,10806318802.47,10416080540.66,32139818.23,2225190503.08,5728730200.0,40988.0,1287030924.3,95983121.65,0.0,40987.0,102389418.67,149168128.0,34.12,31.14,2.94
native,5,2025-04-02T07:31:43.983219+00:00,5520918857.0,4294679199.0,14567884.0,785550166.0,1919808613.0,34751.0,403029856.0,26943407.0,20.0,34731.0,105829376.0,197873664.0,14.77,12.6,2.08
native,6,2025-04-02T07:32:11.541825+00:00,7119031053.0,7185676511.0,21689495.0,1157324563.0,3190087572.0,37686.0,463143364.0,60375446.0,5.0,37681.0,87835989.33,149577728.0,47.25,36.66,3.93
wasm_aot,5,2025-04-02T07:32:37.152449+00:00,11361497719.0,8274317808.0,39999713.0,2128990291.0,6599237696.0,102398.0,1050225619.0,88065610.0,121.0,102277.0,165938790.4,299184128.0,40.14,34.58,4.42
wasm_interpreted,6,2025-04-02T07:33:04.829470+00:00,65193750280.0,79988957494.0,63785199.0,41880958948.0,40222385352.0,108462.0,5368726362.0,434949992.0,141.0,108321.0,232110629.46,327811072.0,25.43,24.91,0.45
wasm_interpreted,7,2025-04-02T07:34:30.676829+00:00,77814979051.0,64775722964.0,58542118.0,41321084771.0,43160447557.0,108678.0,6744866430.0,561103592.0,98.0,108580.0,262999397.21,381644800.0,24.92,24.45,0.47
wasm_aot,6,2025-04-02T07:35:56.177774+00:00,5438174511.0,3884198099.0,16674479.0,1272025251.0,3434595996.0,100102.0,595014289.0,37387695.0,56.0,100066.0,149512192.0,340058112.0,18.02,13.4,4.26
wasm_aot,7,2025-04-02T07:36:24.120806+00:00,8168111150.0,5991609302.0,29287151.0,2146497747.0,5693724976.0,102474.0,714662336.0,50815265.0,3.0,102471.0,211481600.0,338546688.0,31.82,27.08,4.66
docker_container,7,2025-04-02T07:36:52.115259+00:00,9055743934.0,7863524547.0,26562943.0,1559690712.0,4684453324.0,37918.0,939548262.0,64247025.0,517.0,37401.0,110410137.6,213913600.0,18.55,16.76,1.78
docker_container_and_daemon,7,2025-04-02T07:36:52.115259+00:00,9249642997.25,9878403491.33,27594310.99,1707282661.8899999,4781849157.77,39574.05,1041878485.33,65154541.4,522.12,39037.85,152645358.93,318668800.0,19.080000000000002,16.880000000000003,2.19
docker_container_and_daemon_extra_overhead,7,2025-04-02T07:36:52.115259+00:00,9248661714.25,7863524547.0,27585903.99,1707109216.8899999,4781036880.77,39574.05,939548262.0,65148449.4,522.12,39037.85,115273454.92999999,213913600.0,19.080000000000002,16.880000000000003,2.19
wasm_aot,8,2025-04-02T07:37:35.917065+00:00,7033003847.0,4551009721.0,20838187.0,1238805129.0,3042572636.0,101214.0,354000647.0,43647937.0,0.0,101214.0,172395178.67,293023744.0,27.1,23.33,5.06
wasm_interpreted,8,2025-04-02T07:38:02.268286+00:00,84472970617.0,59126603835.0,66716530.0,37991838230.0,41582487799.0,108478.0,8483542074.0,652954290.0,194.0,108284.0,303211799.27,403902464.0,25.62,25.26,0.55
wasm_interpreted,9,2025-04-02T07:39:29.275894+00:00,82742198235.0,60435813662.0,50774804.0,40112140307.0,38367378255.0,108224.0,6129923166.0,560201121.0,163.0,108061.0,242164633.6,340029440.0,24.59,24.15,0.44
native,7,2025-04-02T07:40:51.559389+00:00,5918881289.0,4834980987.0,16461968.0,1104071330.0,3983841166.0,37600.0,696621998.0,39203919.0,20.0,37580.0,108157952.0,204124160.0,24.19,20.69,2.71
native,8,2025-04-02T07:41:19.263508+00:00,9506513167.0,7243864006.0,31699282.0,1672634753.0,5215759138.0,37785.0,650489333.0,69879699.0,0.0,37785.0,81478997.33,131432448.0,62.02,53.7,3.69
wasm_interpreted,10,2025-04-02T07:41:43.959828+00:00,71067345098.0,59635756992.0,56987198.0,38458104573.0,39164192252.0,107303.0,7562613174.0,608247497.0,0.0,107303.0,222276096.0,314646528.0,27.09,26.61,0.49
wasm_interpreted,11,2025-04-02T07:43:05.095754+00:00,68229937276.0,62977101903.0,46911382.0,42861233759.0,34588778431.0,108649.0,7092602534.0,455426429.0,131.0,108518.0,261810176.0,364240896.0,24.28,23.99,0.48
wasm_interpreted,12,2025-04-02T07:44:30.615744+00:00,81227769134.0,60775087790.0,48972089.0,41031604034.0,41817161176.0,107561.0,7205027420.0,579263882.0,0.0,107561.0,269817506.34,361766912.0,24.1,23.72,0.38
docker_container,8,2025-04-02T07:45:54.458597+00:00,10850266850.0,9597630106.0,38772405.0,1896082505.0,5808738976.0,37912.0,970231773.0,77875701.0,515.0,37398.0,121608192.0,219090944.0,17.09,15.48,1.55
docker_container_and_daemon,8,2025-04-02T07:45:54.458597+00:00,11254748776.39,14934532157.35,40633630.05,3643040522.6,6769477469.73,41715.55,1538555431.5700002,89955869.78999999,616.24,41067.35,159062528.0,323846144.0,17.93,15.700000000000001,2.17
docker_container_and_daemon_extra_overhead,8,2025-04-02T07:45:54.458597+00:00,11253116503.39,14933989583.35,40624141.05,3424963161.6,6768590781.73,41715.55,1459160794.5700002,89944242.78999999,616.24,41067.35,134486528.0,219090944.0,17.93,15.700000000000001,2.17
docker_container,9,2025-04-02T07:46:40.395778+00:00,10708412195.0,7599118999.0,30566244.0,1800558907.0,5173922833.0,34491.0,1036254556.0,75226891.0,0.0,34489.0,95465472.0,138645504.0,32.2,29.79,2.41
docker_container_and_daemon,9,2025-04-02T07:46:40.395778+00:00,10822769437.97,9259424259.94,31142171.23,1806893970.4,5237728050.0,34565.36,1171998676.06,75748676.99,4.21,34559.15,137924608.0,243400704.0,32.720000000000006,30.0,2.73
docker_container_and_daemon_extra_overhead,9,2025-04-02T07:46:40.395778+00:00,10708412195.0,9259275004.94,31137767.23,1806796879.4,5237435689.0,34565.36,1077736940.06,75226891.0,4.21,34559.15,97079296.0,138645504.0,32.720000000000006,30.0,2.73
wasm_aot,9,2025-04-02T07:47:18.965563+00:00,13675938646.0,11977403707.0,44581367.0,2178635224.0,5715813946.0,102543.0,1143518673.0,91015790.0,158.0,102385.0,172904448.0,301953024.0,35.58,31.5,4.0
native,9,2025-04-02T07:47:47.848647+00:00,7218475679.0,5683199975.0,20171761.0,1450407258.0,4254228987.0,41363.0,869025322.0,67684741.0,64.0,41299.0,154491904.0,224149504.0,24.76,22.12,2.59
wasm_interpreted,13,2025-04-02T07:48:16.502707+00:00,70892567769.0,62606803860.0,52324112.0,43213647532.0,36762835753.0,108529.0,6693212208.0,549899206.0,157.0,108372.0,231806976.0,321953792.0,25.93,25.47,0.49
wasm_aot,10,2025-04-02T07:49:39.369159+00:00,10230475200.0,7473623462.0,33863481.0,1983791619.0,5603308385.0,103924.0,884537301.0,61497491.0,325.0,103599.0,230081682.29,399204352.0,23.76,20.16,3.6
native,10,2025-04-02T07:50:10.854433+00:00,5435402109.0,4658852380.0,16643632.0,999556209.0,2602732689.0,37655.0,574051710.0,31960679.0,113.0,37542.0,57821866.67,145809408.0,43.69,27.12,3.3
wasm_aot,11,2025-04-02T07:50:36.222640+00:00,4755207275.0,3651664182.0,12248913.0,1368634918.0,3103917985.0,99921.0,527240130.0,22526847.0,13.0,99908.0,235147264.0,294191104.0,25.02,19.25,5.1
wasm_aot,12,2025-04-02T07:51:02.375211+00:00,6582354674.0,5004696102.0,19107241.0,1187711845.0,3906153428.0,101426.0,540210022.0,35670284.0,0.0,101426.0,180017834.67,320667648.0,25.95,20.98,4.97
native,11,2025-04-02T07:51:29.405621+00:00,3330893184.0,2710350139.0,17082664.0,771763414.0,2119429181.0,34932.0,451274460.0,34806191.0,2.0,34930.0,122908672.0,160350208.0,19.36,16.56,2.51
wasm_aot,13,2025-04-02T07:51:55.403331+00:00,10744004885.0,7348904818.0,31864612.0,1561829063.0,4537134782.0,101077.0,699168693.0,55687844.0,0.0,101077.0,223376725.33,293048320.0,49.26,43.47,4.13
native,12,2025-04-02T07:52:21.343125+00:00,9666903933.0,7360318508.0,31070024.0,1623834772.0,3803349856.0,36651.0,736319112.0,61014545.0,0.0,36651.0,139016192.0,168091648.0,38.73,36.03,2.17
docker_container,10,2025-04-02T07:52:47.707571+00:00,11658705646.0,10430425053.0,35817819.0,2217916624.0,6978812291.0,38020.0,1489750395.0,110394846.0,521.0,37496.0,116464844.8,179159040.0,25.63,23.46,1.95
docker_container_and_daemon,10,2025-04-02T07:52:47.707571+00:00,12103612219.0,16611626748.8,38040897.73,4477108233.27,7174744984.07,41748.42,2351857597.58,112747985.15,543.86,41174.13,153188556.8,283914240.0,26.58,23.76,2.6
docker_container_and_daemon_extra_overhead,10,2025-04-02T07:52:47.707571+00:00,12102622458.0,15855074596.8,38032687.73,4476997749.27,7174320007.07,41748.42,2265851002.58,112737648.15,543.86,41174.13,121379020.8,179159040.0,26.58,23.76,2.6
docker_container,11,2025-04-02T07:53:32.633489+00:00,10085085916.0,7543504970.0,34726966.0,1658974189.0,4605232186.0,37295.0,984872763.0,72646887.0,0.0,37294.0,112033792.0,184672256.0,31.81,28.93,2.88
docker_container_and_daemon,11,2025-04-02T07:53:32.633489+00:00,10156004879.67,9960314498.53,34953215.69,2797075574.54,4644037127.13,37429.32,1368718573.65,72838691.62,0.0,37428.32,152241493.32999998,289427456.0,32.1,28.98,3.13
docker_container_and_daemon_extra_overhead,11,2025-04-02T07:53:32.633489+00:00,10154841739.67,9325337179.53,34946786.69,2564894203.54,4643590555.13,37429.32,1368679342.65,72832093.62,0.0,37428.32,112997717.33,184672256.0,32.1,28.98,3.13
docker_container,12,2025-04-02T07:54:12.376321+00:00,14223480881.0,12702693241.0,47720090.0,2876752844.0,8822749038.0,40939.0,1473121413.0,79536475.0,0.0,40937.0,108306432.0,166129664.0,38.94,36.09,2.85
docker_container_and_daemon,12,2025-04-02T07:54:12.376321+00:00,14279724579.7,18732447638.11,47986384.47,4834901631.11,8851083492.81,40947.17,2270689802.26,79666771.1,0.0,40945.17,148348108.8,270884864.0,39.25,36.2,3.0500000000000003
docker_container_and_daemon_extra_overhead,12,2025-04-02T07:54:12.376321+00:00,14278576108.7,18732271063.11,47980038.47,4378448830.11,8822749038.0,40944.17,2161241044.26,79657864.1,0.0,40942.17,109378764.8,166129664.0,39.25,36.2,3.0500000000000003
wasm_interpreted,14,2025-04-02T07:54:51.729815+00:00,79624833284.0,53574814209.0,70589644.0,35107491529.0,46309873616.0,107854.0,7948753832.0,611925107.0,394.0,107460.0,263593602.98,361238528.0,25.95,25.4,0.51
native,13,2025-04-02T07:56:18.385934+00:00,11185102060.0,7912246348.0,35311633.0,1735484373.0,5831742674.0,37905.0,1014087363.0,81223747.0,186.0,37719.0,131602432.0,221413376.0,31.18,28.74,2.24
wasm_aot,14,2025-04-02T07:56:46.794368+00:00,6321758389.0,4900494332.0,26581158.0,2648313241.0,4748520213.0,101276.0,785380288.0,49994153.0,46.0,101230.0,250421248.0,296443904.0,43.86,38.46,2.52
docker_container,13,2025-04-02T07:57:13.225859+00:00,8402641766.0,6596172376.0,23085292.0,1363870312.0,4171509715.0,41611.0,751187838.0,65735808.0,517.0,41091.0,147213750.86,266530816.0,15.33,13.37,1.86
docker_container_and_daemon,13,2025-04-02T07:57:13.225859+00:00,17404805158.32,15503453481.38,23958201.15,3672355269.68,6437783014.3,43372.56,1710546707.52,80349187.58,527.69,42835.93,181417171.3,371286016.0,15.77,13.51,2.16
docker_container_and_daemon_extra_overhead,13,2025-04-02T07:57:13.225859+00:00,17403756079.32,15503349525.38,23953131.15,3672252454.68,6437243457.3,43372.56,1710530752.52,80339584.58,527.69,42835.93,151889107.3,266530816.0,15.77,13.51,2.16
native,14,2025-04-02T07:57:58.518357+00:00,7953988257.0,6099990436.0,25275549.0,1315248829.0,3773500997.0,41392.0,645693978.0,50430108.0,25.0,41367.0,80368981.33,134709248.0,55.93,46.4,3.95
wasm_aot,15,2025-04-02T07:58:23.411434+00:00,9320659352.0,5548811572.0,29561503.0,1387533349.0,4407394400.0,103932.0,528619264.0,49732886.0,132.0,103800.0,205972821.33,300478464.0,33.06,28.5,3.81
wasm_aot,16,2025-04-02T07:58:50.036891+00:00,6470908537.0,3913538621.0,14710167.0,946097249.0,3297328720.0,102635.0,494886808.0,41575833.0,101.0,102534.0,177944576.0,344182784.0,13.43,10.02,3.32
