deployment-mechanism,trial-number,start-time,wall-time-seconds
native,1,2025-04-02T08:17:05.882454+00:00,4.91
wasm_aot,1,2025-04-02T08:17:10.849022+00:00,4.41
docker,1,2025-04-02T08:17:15.275380+00:00,6.6
wasm_interpreted,1,2025-04-02T08:17:22.015269+00:00,58.55
wasm_aot,2,2025-04-02T08:18:20.579093+00:00,6.2
native,2,2025-04-02T08:18:26.792869+00:00,3.44
docker,2,2025-04-02T08:18:30.244133+00:00,5.83
wasm_interpreted,2,2025-04-02T08:18:36.216322+00:00,58.1
wasm_interpreted,3,2025-04-02T08:19:34.326539+00:00,58.19
native,3,2025-04-02T08:20:32.533070+00:00,3.07
docker,3,2025-04-02T08:20:35.616987+00:00,6.44
docker,4,2025-04-02T08:20:42.189655+00:00,4.57
wasm_interpreted,4,2025-04-02T08:20:46.909598+00:00,58.02
docker,5,2025-04-02T08:21:44.943318+00:00,4.81
native,4,2025-04-02T08:21:49.893714+00:00,3.25
wasm_interpreted,5,2025-04-02T08:21:53.150475+00:00,58.16
wasm_aot,3,2025-04-02T08:22:51.324558+00:00,4.2
wasm_interpreted,6,2025-04-02T08:22:55.531309+00:00,58.02
native,5,2025-04-02T08:23:53.564231+00:00,3.1
wasm_interpreted,7,2025-04-02T08:23:56.670877+00:00,57.87
wasm_aot,4,2025-04-02T08:24:54.554107+00:00,4.1
wasm_aot,5,2025-04-02T08:24:58.664328+00:00,4.19
wasm_interpreted,8,2025-04-02T08:25:02.860527+00:00,58.2
wasm_aot,6,2025-04-02T08:26:01.077864+00:00,4.08
wasm_interpreted,9,2025-04-02T08:26:05.169200+00:00,58.12
wasm_interpreted,10,2025-04-02T08:27:03.298120+00:00,58.05
native,6,2025-04-02T08:28:01.360325+00:00,3.06
wasm_interpreted,11,2025-04-02T08:28:04.437710+00:00,58.08
native,7,2025-04-02T08:29:02.525143+00:00,2.84
wasm_aot,7,2025-04-02T08:29:05.382904+00:00,3.83
wasm_interpreted,12,2025-04-02T08:29:09.220562+00:00,58.13
docker,6,2025-04-02T08:30:07.357069+00:00,4.5
wasm_aot,8,2025-04-02T08:30:11.995720+00:00,4.11
docker,7,2025-04-02T08:30:16.115145+00:00,4.42
docker,8,2025-04-02T08:30:20.689090+00:00,4.71
wasm_aot,9,2025-04-02T08:30:25.556272+00:00,4.23
docker,9,2025-04-02T08:30:29.799601+00:00,4.84
native,8,2025-04-02T08:30:34.799880+00:00,3.41
wasm_aot,10,2025-04-02T08:30:38.225754+00:00,4.45
docker,10,2025-04-02T08:30:42.687654+00:00,4.96
docker,11,2025-04-02T08:30:47.810499+00:00,4.92
native,9,2025-04-02T08:30:52.889833+00:00,3.68
wasm_aot,11,2025-04-02T08:30:56.580631+00:00,4.73
docker,12,2025-04-02T08:31:01.327080+00:00,5.03
wasm_interpreted,13,2025-04-02T08:31:06.517764+00:00,58.1
native,10,2025-04-02T08:32:04.633573+00:00,3.12
wasm_interpreted,14,2025-04-02T08:32:07.762807+00:00,58.13
docker,13,2025-04-02T08:33:05.902430+00:00,5.11
wasm_aot,12,2025-04-02T08:33:11.154442+00:00,4.05
docker,14,2025-04-02T08:33:15.213293+00:00,4.69
native,11,2025-04-02T08:33:20.051495+00:00,3.5
docker,15,2025-04-02T08:33:23.557872+00:00,4.92
wasm_aot,13,2025-04-02T08:33:28.633225+00:00,4.51
docker,16,2025-04-02T08:33:33.154568+00:00,4.89
wasm_interpreted,15,2025-04-02T08:33:38.195326+00:00,58.29
wasm_aot,14,2025-04-02T08:34:36.494495+00:00,3.99
docker,17,2025-04-02T08:34:40.494387+00:00,5.1
wasm_interpreted,16,2025-04-02T08:34:45.747536+00:00,58.01
native,12,2025-04-02T08:35:43.772739+00:00,3.3
native,13,2025-04-02T08:35:47.083101+00:00,3.3
native,14,2025-04-02T08:35:50.401748+00:00,3.54
docker,18,2025-04-02T08:35:53.954993+00:00,4.83
native,15,2025-04-02T08:35:58.961020+00:00,3.48
wasm_aot,15,2025-04-02T08:36:02.463130+00:00,4.43
wasm_interpreted,17,2025-04-02T08:36:06.902045+00:00,58.3
docker,19,2025-04-02T08:37:05.213062+00:00,4.47
wasm_aot,16,2025-04-02T08:37:09.836588+00:00,4.27
native,16,2025-04-02T08:37:14.114440+00:00,3.45
native,17,2025-04-02T08:37:17.577569+00:00,3.53
wasm_aot,17,2025-04-02T08:37:21.122779+00:00,4.29
native,18,2025-04-02T08:37:25.430944+00:00,3.57
wasm_interpreted,18,2025-04-02T08:37:29.012189+00:00,58.43
docker,20,2025-04-02T08:38:27.453078+00:00,4.58
wasm_aot,18,2025-04-02T08:38:32.170639+00:00,4.23
wasm_interpreted,19,2025-04-02T08:38:36.408629+00:00,58.21
wasm_aot,19,2025-04-02T08:39:34.638529+00:00,4.17
wasm_aot,20,2025-04-02T08:39:38.815138+00:00,4.06
wasm_interpreted,20,2025-04-02T08:39:42.886218+00:00,58.28
native,19,2025-04-02T08:40:41.179434+00:00,3.2
native,20,2025-04-02T08:40:44.388632+00:00,3.32
