deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-02T08:40:51.237613+00:00,11512923316.0,10115203258.0,30237550.0,1652069248.0,5050528830.0,38106.0,877979987.0,79386846.0,533.0,37574.0,142298624.0,236285952.0,16.65,14.83,1.76
docker_container_and_daemon,1,2025-04-02T08:40:51.237613+00:00,11879623598.42,10557995430.24,31384251.22,1788132362.25,5256336091.57,41631.25,941724346.95,81503720.86,541.14,41086.45,180549120.0,341041152.0,17.16,15.11,1.99
docker_container_and_daemon_extra_overhead,1,2025-04-02T08:40:51.237613+00:00,11877790387.42,10557681354.24,31374105.22,1788038174.25,5255588092.57,41631.25,940577491.95,81491965.86,541.14,41086.45,147596800.0,236285952.0,17.16,15.11,1.99
wasm_aot,1,2025-04-02T08:42:19.995963+00:00,8363353664.0,4879745301.0,24016857.0,1045703490.0,3568322050.0,101520.0,577924414.0,62775330.0,710.0,100809.0,209478802.29,409821184.0,12.18,9.37,2.75
wasm_interpreted,1,2025-04-02T08:42:53.524877+00:00,73777916697.0,66453497375.0,54142810.0,38992167799.0,40704744849.0,110107.0,8909059736.0,731510209.0,49.0,110058.0,258863494.1,354897920.0,25.02,24.8,0.44
native,1,2025-04-02T08:44:17.501989+00:00,6736207557.0,5329419904.0,35434723.0,1812200546.0,4619004973.0,37723.0,696922704.0,56445384.0,44.0,37679.0,108221440.0,185192448.0,34.45,30.74,2.63
docker_container,2,2025-04-02T08:44:44.281288+00:00,15673424475.0,10757348332.0,34149457.0,1906151521.0,5476311292.0,37987.0,927624096.0,66692953.0,511.0,37477.0,99844096.0,179531776.0,24.84,22.88,1.92
docker_container_and_daemon,2,2025-04-02T08:44:44.281288+00:00,16424009364.43,11563486369.95,36239154.42,2098885895.12,5857386591.05,41746.85,1008937086.6800001,70777467.17,606.3199999999999,41101.71,142034066.29,284286976.0,25.93,23.099999999999998,2.78
docker_container_and_daemon_extra_overhead,2,2025-04-02T08:44:44.281288+00:00,16424009364.43,11563486369.95,36239154.42,2098885895.12,5857386591.05,41746.85,1008937086.6800001,70777467.17,606.3199999999999,41101.71,108147858.28999999,179531776.0,25.93,23.099999999999998,2.78
native,2,2025-04-02T08:45:27.919999+00:00,8930995899.0,7043348935.0,25715963.0,1429590229.0,3983920152.0,36647.0,727586226.0,64207282.0,2.0,36645.0,93546496.0,151851008.0,46.18,40.94,3.37
wasm_interpreted,2,2025-04-02T08:45:53.615114+00:00,70272731121.0,64529053821.0,58228164.0,33824609431.0,36653100888.0,109651.0,7282871075.0,554695966.0,202.0,109449.0,235611601.45,324636672.0,25.12,24.9,0.52
wasm_aot,2,2025-04-02T08:47:18.223749+00:00,12733153941.0,9465933612.0,37938749.0,1952680782.0,6510371471.0,102278.0,1295195187.0,81378712.0,378.0,101900.0,205387483.43,354299904.0,24.42,21.34,3.08
docker_container,3,2025-04-02T08:47:50.443580+00:00,11968938954.0,8513554781.0,30264926.0,1725442104.0,5006764098.0,41716.0,882073128.0,65663393.0,525.0,41192.0,126325321.14,238977024.0,22.04,19.78,2.21
docker_container_and_daemon,3,2025-04-02T08:47:50.443580+00:00,12547563215.0,9910434092.45,30530323.4,2182344345.16,5293191108.27,41791.4,1050447482.66,69327872.64,528.77,41263.63,167277129.14,343732224.0,22.22,19.85,2.32
docker_container_and_daemon_extra_overhead,3,2025-04-02T08:47:50.443580+00:00,12016292585.0,9578003052.45,30527911.4,2124842454.16,5292857797.27,41791.4,1034342106.66,69325355.64,528.77,41263.63,131314249.14,238977024.0,22.22,19.85,2.32
wasm_interpreted,3,2025-04-02T08:48:34.135122+00:00,78075700306.0,72131958027.0,66495425.0,48592998283.0,46574641946.0,110140.0,7408821737.0,527788159.0,235.0,109905.0,251880186.05,347303936.0,26.19,25.95,0.51
docker_container,4,2025-04-02T08:49:57.980666+00:00,9953224159.0,8064786052.0,32529709.0,1891750540.0,5440536001.0,37843.0,952317203.0,74511282.0,346.0,37494.0,129701595.43,231772160.0,18.51,16.7,1.74
