deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-04-02T09:43:06.482328+00:00,5.8
wasm_interpreted,1,2025-04-02T09:43:12.342007+00:00,58.75
wasm_interpreted,2,2025-04-02T09:44:11.103368+00:00,59.49
wasm_interpreted,3,2025-04-02T09:45:10.598761+00:00,58.62
native,1,2025-04-02T09:46:09.227281+00:00,3.17
wasm_interpreted,4,2025-04-02T09:46:12.406106+00:00,57.81
native,2,2025-04-02T09:47:10.230081+00:00,2.87
docker,1,2025-04-02T09:47:13.112478+00:00,6.45
wasm_interpreted,5,2025-04-02T09:47:19.701828+00:00,57.88
native,3,2025-04-02T09:48:17.592215+00:00,3.09
native,4,2025-04-02T09:48:20.697413+00:00,3.27
docker,2,2025-04-02T09:48:23.981925+00:00,6.53
wasm_interpreted,6,2025-04-02T09:48:30.651446+00:00,58.35
native,5,2025-04-02T09:49:29.016165+00:00,2.99
docker,3,2025-04-02T09:49:32.017088+00:00,4.83
docker,4,2025-04-02T09:49:36.988555+00:00,4.66
native,6,2025-04-02T09:49:41.802342+00:00,3.14
wasm_aot,2,2025-04-02T09:49:44.950865+00:00,4.45
docker,5,2025-04-02T09:49:49.410817+00:00,4.88
docker,6,2025-04-02T09:49:54.441670+00:00,4.82
wasm_interpreted,7,2025-04-02T09:49:59.414341+00:00,57.95
native,7,2025-04-02T09:50:57.373601+00:00,3.05
wasm_aot,3,2025-04-02T09:51:00.432802+00:00,4.09
docker,7,2025-04-02T09:51:04.534447+00:00,5.44
wasm_aot,4,2025-04-02T09:51:10.121698+00:00,4.34
wasm_interpreted,8,2025-04-02T09:51:14.472959+00:00,57.91
docker,8,2025-04-02T09:52:12.394359+00:00,5.2
docker,9,2025-04-02T09:52:17.741220+00:00,4.6
docker,10,2025-04-02T09:52:22.492693+00:00,4.69
native,8,2025-04-02T09:52:27.331351+00:00,3.2
wasm_aot,5,2025-04-02T09:52:30.543995+00:00,4.57
native,9,2025-04-02T09:52:35.121153+00:00,3.67
wasm_aot,6,2025-04-02T09:52:38.802241+00:00,4.49
native,10,2025-04-02T09:52:43.302676+00:00,3.68
wasm_interpreted,9,2025-04-02T09:52:46.989980+00:00,58.0
docker,11,2025-04-02T09:53:45.001274+00:00,5.02
docker,12,2025-04-02T09:53:50.160749+00:00,4.64
docker,13,2025-04-02T09:53:54.955373+00:00,4.86
docker,14,2025-04-02T09:53:59.965426+00:00,4.9
wasm_aot,7,2025-04-02T09:54:05.019423+00:00,4.56
native,11,2025-04-02T09:54:09.593952+00:00,3.61
docker,15,2025-04-02T09:54:13.220340+00:00,5.06
wasm_interpreted,10,2025-04-02T09:54:18.443714+00:00,58.04
wasm_interpreted,11,2025-04-02T09:55:16.494085+00:00,57.72
wasm_aot,8,2025-04-02T09:56:14.226264+00:00,4.12
docker,16,2025-04-02T09:56:18.360208+00:00,5.33
wasm_interpreted,12,2025-04-02T09:56:23.828927+00:00,57.8
native,12,2025-04-02T09:57:21.642120+00:00,3.08
native,13,2025-04-02T09:57:24.732896+00:00,3.34
wasm_aot,9,2025-04-02T09:57:28.087478+00:00,4.37
docker,17,2025-04-02T09:57:32.468526+00:00,5.03
native,14,2025-04-02T09:57:37.649277+00:00,3.4
wasm_aot,10,2025-04-02T09:57:41.061001+00:00,4.56
native,15,2025-04-02T09:57:45.633651+00:00,3.49
native,16,2025-04-02T09:57:49.137680+00:00,3.79
wasm_aot,11,2025-04-02T09:57:52.940606+00:00,4.63
wasm_aot,12,2025-04-02T09:57:57.579538+00:00,4.52
wasm_aot,13,2025-04-02T09:58:02.109876+00:00,4.63
wasm_interpreted,13,2025-04-02T09:58:06.751475+00:00,58.11
docker,18,2025-04-02T09:59:04.874529+00:00,4.76
wasm_interpreted,14,2025-04-02T09:59:09.791461+00:00,57.88
native,17,2025-04-02T10:00:07.678110+00:00,2.95
docker,19,2025-04-02T10:00:10.640635+00:00,4.75
wasm_aot,14,2025-04-02T10:00:15.542868+00:00,4.13
wasm_interpreted,15,2025-04-02T10:00:19.681685+00:00,58.06
wasm_interpreted,16,2025-04-02T10:01:17.752662+00:00,57.78
wasm_aot,15,2025-04-02T10:02:15.541433+00:00,4.14
docker,20,2025-04-02T10:02:19.697000+00:00,4.82
native,18,2025-04-02T10:02:24.663735+00:00,3.32
wasm_aot,16,2025-04-02T10:02:27.995662+00:00,4.35
wasm_interpreted,17,2025-04-02T10:02:32.358081+00:00,57.98
wasm_aot,17,2025-04-02T10:03:30.350208+00:00,4.08
wasm_aot,18,2025-04-02T10:03:34.442800+00:00,4.21
native,19,2025-04-02T10:03:38.670643+00:00,3.41
wasm_aot,19,2025-04-02T10:03:42.094093+00:00,4.42
native,20,2025-04-02T10:03:46.527399+00:00,3.6
wasm_interpreted,18,2025-04-02T10:03:50.136323+00:00,57.96
wasm_interpreted,19,2025-04-02T10:04:48.110939+00:00,57.59
wasm_aot,20,2025-04-02T10:05:45.711807+00:00,4.13
wasm_interpreted,20,2025-04-02T10:05:49.857610+00:00,57.89
