"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","41,656.11-73,766.39","9,148.49-28,635.11","True","2.09x-4.02x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","10.64-137.86","87.13-274.05","False","0.95x-3.91x"
"minor-faults","41,607.19-73,693.91","8,998.60-28,367.62","True","2.11x-4.06x"
"avg-memory-over-time-in-bytes","168,224,176.34-267,063,819.39","30,959,972.73-83,053,955.37","True","2.86x-4.78x"
"max-memory-over-time-in-bytes","203,948,400.14-315,573,903.86","56,872,560.10-163,307,100.70","True","1.68x-3.04x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","1.08-1.32","1.93-2.14","True","1.56x-1.82x"
