"metric","docker-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","-988.96-7,474.09","20,306.78-63,017.62","True","6.17x-19.53x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","-14.26-95.41","-21.95-81.35","False","-1.09x-3.82x"
"minor-faults","-1,047.76-7,323.65","20,293.68-62,972.22","True","6.37x-20.16x"
"avg-memory-over-time-in-bytes","-333,354.60-26,771,655.61","66,877,055.80-209,909,529.80","True","4.99x-15.95x"
"max-memory-over-time-in-bytes","-4,833,155.71-53,101,648.51","74,948,988.86-233,800,118.34","True","2.94x-9.85x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","2.03-2.38","1.08-1.19","True","1.78x-2.10x"
