"metric","docker-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","1,421.60-13,279.32","26,868.01-65,996.99","True","3.56x-9.07x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","4.48-107.56","-9.42-123.72","False","-0.44x-2.48x"
"minor-faults","1,389.61-13,107.55","26,880.63-65,986.07","True","3.62x-9.19x"
"avg-memory-over-time-in-bytes","4,879,334.84-60,838,862.07","88,440,116.76-213,930,699.24","True","2.55x-6.65x"
"max-memory-over-time-in-bytes","10,877,015.21-90,313,026.39","109,613,120.02-256,031,065.58","True","2.01x-5.22x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","2.04-2.47","0.98-1.41","True","1.64x-2.13x"
