deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
native,1,2025-04-03T01:59:11.910964+00:00,,,,,,44452.0,,,44.0,44408.0,210481152.0,210690048.0,,,
wasm_aot,1,2025-04-03T01:59:35.087803+00:00,,,,,,46993.0,,,163.0,46830.0,250175488.0,250355712.0,,,
docker_container,1,2025-04-03T01:59:58.492193+00:00,,,,,,34983.0,,,385.0,34705.0,121356288.0,240173056.0,9.53,3.91,5.62
docker_container_and_daemon,1,2025-04-03T01:59:58.492193+00:00,,,,,,34986.15,,,386.58,34706.58,167171413.32999998,346202112.0,10.03,4.0,6.03
docker_container_and_daemon_extra_overhead,1,2025-04-03T01:59:58.492193+00:00,,,,,,34986.15,,,386.58,34706.58,122365269.33,240173056.0,10.02,4.0,6.0200000000000005
native,2,2025-04-03T02:00:33.773970+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,2,2025-04-03T02:00:55.505804+00:00,,,,,,93533.0,,,81.0,93452.0,320606208.0,348889088.0,18.33,1.7,16.63
wasm_aot,3,2025-04-03T02:01:19.885532+00:00,,,,,,52386.0,,,13.0,52373.0,249147392.0,249147392.0,,,
wasm_aot,4,2025-04-03T02:01:42.285251+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,5,2025-04-03T02:02:04.195720+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
native,3,2025-04-03T02:02:25.879886+00:00,,,,,,46908.0,,,17.0,46891.0,186179584.0,197709824.0,,,
native,4,2025-04-03T02:05:00.201120+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,6,2025-04-03T02:05:21.858652+00:00,,,,,,97386.0,,,20.0,97366.0,260534272.0,338337792.0,,,
docker_container,2,2025-04-03T02:06:28.825290+00:00,,,,,,8.0,,,3.0,3.0,2154496.0,3657728.0,,,
docker_container_and_daemon,2,2025-04-03T02:06:28.825290+00:00,,,,,,21.48,,,5.7,13.78,39813120.0,109686784.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-03T02:06:28.825290+00:00,,,,,,21.48,,,5.7,13.78,3776512.0,3657728.0,,,
