deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-04-03T03:07:17.658226+00:00,1.98
wasm_aot,2,2025-04-03T03:07:19.665873+00:00,1.87
docker,1,2025-04-03T03:07:21.545330+00:00,2.33
wasm_aot,3,2025-04-03T03:07:23.953701+00:00,1.08
docker,2,2025-04-03T03:07:25.036910+00:00,2.11
docker,3,2025-04-03T03:07:27.234799+00:00,2.29
wasm_aot,4,2025-04-03T03:07:29.611588+00:00,1.2
native,1,2025-04-03T03:07:30.818430+00:00,0.82
docker,4,2025-04-03T03:07:31.649427+00:00,2.08
wasm_aot,5,2025-04-03T03:07:33.808334+00:00,1.12
native,2,2025-04-03T03:07:34.937988+00:00,0.92
docker,5,2025-04-03T03:07:35.865647+00:00,1.92
docker,6,2025-04-03T03:07:37.863880+00:00,2.07
native,3,2025-04-03T03:07:40.009896+00:00,1.01
docker,7,2025-04-03T03:07:41.032981+00:00,2.17
docker,8,2025-04-03T03:07:43.291057+00:00,2.17
docker,9,2025-04-03T03:07:45.545806+00:00,1.89
wasm_aot,6,2025-04-03T03:07:47.518781+00:00,1.22
wasm_aot,7,2025-04-03T03:07:48.742415+00:00,1.23
wasm_aot,8,2025-04-03T03:07:49.978497+00:00,1.21
native,4,2025-04-03T03:07:51.196351+00:00,0.99
wasm_aot,9,2025-04-03T03:07:52.198195+00:00,1.16
native,5,2025-04-03T03:07:53.365747+00:00,0.9
docker,10,2025-04-03T03:07:54.277427+00:00,1.88
docker,11,2025-04-03T03:07:56.240649+00:00,2.02
wasm_aot,10,2025-04-03T03:07:58.335185+00:00,1.16
docker,12,2025-04-03T03:07:59.497924+00:00,1.96
native,6,2025-04-03T03:08:01.538934+00:00,0.82
native,7,2025-04-03T03:08:02.364688+00:00,0.86
native,8,2025-04-03T03:08:03.234355+00:00,0.97
wasm_aot,11,2025-04-03T03:08:04.213934+00:00,1.08
native,9,2025-04-03T03:08:05.303483+00:00,0.88
native,10,2025-04-03T03:08:06.195786+00:00,0.91
wasm_aot,12,2025-04-03T03:08:07.110410+00:00,1.16
docker,13,2025-04-03T03:08:08.275949+00:00,2.61
native,11,2025-04-03T03:08:11.047732+00:00,1.0
wasm_aot,13,2025-04-03T03:08:12.054403+00:00,1.05
native,12,2025-04-03T03:08:13.110542+00:00,0.87
wasm_aot,14,2025-04-03T03:08:13.991378+00:00,1.17
wasm_aot,15,2025-04-03T03:08:15.173617+00:00,1.04
docker,14,2025-04-03T03:08:16.219852+00:00,1.77
native,13,2025-04-03T03:08:18.061507+00:00,0.8
wasm_aot,16,2025-04-03T03:08:18.867450+00:00,1.02
wasm_aot,17,2025-04-03T03:08:19.898758+00:00,0.99
docker,15,2025-04-03T03:08:20.901357+00:00,1.7
wasm_aot,18,2025-04-03T03:08:22.677703+00:00,1.21
native,14,2025-04-03T03:08:23.893876+00:00,1.36
native,15,2025-04-03T03:08:25.259663+00:00,0.92
wasm_aot,19,2025-04-03T03:08:26.192438+00:00,1.09
docker,16,2025-04-03T03:08:27.289702+00:00,1.94
native,16,2025-04-03T03:08:29.301258+00:00,0.95
native,17,2025-04-03T03:08:30.255523+00:00,0.91
wasm_aot,20,2025-04-03T03:08:31.176248+00:00,1.04
native,18,2025-04-03T03:08:32.229602+00:00,0.88
docker,17,2025-04-03T03:08:33.117659+00:00,2.01
docker,18,2025-04-03T03:08:35.221473+00:00,1.8
native,19,2025-04-03T03:08:37.090252+00:00,0.84
docker,19,2025-04-03T03:08:37.942001+00:00,1.77
native,20,2025-04-03T03:08:39.792176+00:00,0.83
docker,20,2025-04-03T03:08:40.634936+00:00,2.16
