deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-03T03:24:27.664632+00:00,,,,,,28415.0,,,371.0,28042.0,103490901.33,227713024.0,13.19,2.31,10.88
docker_container_and_daemon,1,2025-04-03T03:24:27.664632+00:00,,,,,,28523.05,,,373.57,28147.48,154723669.32999998,333742080.0,13.54,2.38,11.16
docker_container_and_daemon_extra_overhead,1,2025-04-03T03:24:27.664632+00:00,,,,,,28523.05,,,373.57,28147.48,104363349.33,227713024.0,13.52,2.38,11.14
wasm_aot,1,2025-04-03T03:25:04.744959+00:00,,,,,,93828.0,,,495.0,93332.0,327866368.0,434823168.0,28.41,4.93,22.99
wasm_aot,2,2025-04-03T03:25:29.227086+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,3,2025-04-03T03:27:42.070452+00:00,,,,,,82176.0,,,0.0,82176.0,279416832.0,323633152.0,,,
wasm_aot,4,2025-04-03T03:28:05.006584+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,2,2025-04-03T03:33:04.579014+00:00,,,,,,30766.0,,,392.0,30372.0,90607616.0,179535872.0,14.6,11.03,3.57
docker_container_and_daemon,2,2025-04-03T03:33:04.579014+00:00,,,,,,30766.0,,,392.0,30372.0,90607616.0,285564928.0,14.6,11.03,3.57
docker_container_and_daemon_extra_overhead,2,2025-04-03T03:33:04.579014+00:00,,,,,,30766.0,,,392.0,30372.0,90607616.0,179535872.0,14.6,11.03,3.57
wasm_aot,5,2025-04-03T03:33:40.760436+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,6,2025-04-03T03:34:23.962206+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,3,2025-04-03T03:36:53.726915+00:00,,,,,,9.0,,,3.0,6.0,1888256.0,3788800.0,,,
docker_container_and_daemon,3,2025-04-03T03:36:53.726915+00:00,,,,,,9.0,,,3.0,6.0,1888256.0,109817856.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-03T03:36:53.726915+00:00,,,,,,9.0,,,3.0,6.0,1888256.0,3788800.0,,,
wasm_aot,7,2025-04-03T03:37:26.835702+00:00,,,,,,96654.0,,,0.0,96654.0,209969152.0,291287040.0,,,
docker_container,4,2025-04-03T03:39:14.611141+00:00,,,,,,9.0,,,2.0,3.0,2764800.0,3227648.0,,,
docker_container_and_daemon,4,2025-04-03T03:39:14.611141+00:00,,,,,,9.0,,,2.0,3.0,2764800.0,109256704.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-03T03:39:14.611141+00:00,,,,,,9.0,,,2.0,3.0,2764800.0,3227648.0,,,
wasm_aot,8,2025-04-03T03:39:47.409336+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,5,2025-04-03T03:40:08.777720+00:00,,,,,,20.0,,,0.0,10.0,2506752.0,3342336.0,,,
