deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-03T04:01:36.338195+00:00,3.68
wasm_aot,1,2025-04-03T04:01:40.123966+00:00,1.08
wasm_aot,2,2025-04-03T04:01:41.216024+00:00,0.97
wasm_aot,3,2025-04-03T04:01:42.192615+00:00,1.03
wasm_aot,4,2025-04-03T04:01:43.234926+00:00,1.06
wasm_aot,5,2025-04-03T04:01:44.298443+00:00,1.03
wasm_aot,6,2025-04-03T04:01:45.338957+00:00,1.28
docker,2,2025-04-03T04:01:46.631764+00:00,1.85
docker,3,2025-04-03T04:01:48.604421+00:00,2.33
wasm_aot,7,2025-04-03T04:01:51.080991+00:00,1.13
wasm_aot,8,2025-04-03T04:01:52.224434+00:00,1.12
docker,4,2025-04-03T04:01:53.355464+00:00,2.06
docker,5,2025-04-03T04:01:55.551296+00:00,2.1
docker,6,2025-04-03T04:01:57.759685+00:00,2.03
docker,7,2025-04-03T04:01:59.924947+00:00,2.25
docker,8,2025-04-03T04:02:02.276779+00:00,2.17
docker,9,2025-04-03T04:02:04.554757+00:00,2.24
wasm_aot,9,2025-04-03T04:02:06.916368+00:00,1.27
docker,10,2025-04-03T04:02:08.194373+00:00,2.04
docker,11,2025-04-03T04:02:10.408709+00:00,2.29
docker,12,2025-04-03T04:02:12.842469+00:00,2.4
wasm_aot,10,2025-04-03T04:02:15.337952+00:00,1.29
wasm_aot,11,2025-04-03T04:02:16.638458+00:00,1.15
wasm_aot,12,2025-04-03T04:02:17.798667+00:00,1.08
wasm_aot,13,2025-04-03T04:02:18.884464+00:00,1.1
docker,13,2025-04-03T04:02:19.996446+00:00,2.0
docker,14,2025-04-03T04:02:22.116873+00:00,2.09
docker,15,2025-04-03T04:02:24.296675+00:00,2.19
wasm_aot,14,2025-04-03T04:02:26.610280+00:00,1.21
docker,16,2025-04-03T04:02:27.833088+00:00,2.11
docker,17,2025-04-03T04:02:30.094467+00:00,2.34
wasm_aot,15,2025-04-03T04:02:32.569730+00:00,1.42
wasm_aot,16,2025-04-03T04:02:34.001084+00:00,1.02
docker,18,2025-04-03T04:02:35.026562+00:00,2.06
docker,19,2025-04-03T04:02:37.188397+00:00,1.98
wasm_aot,17,2025-04-03T04:02:39.321088+00:00,1.13
wasm_aot,18,2025-04-03T04:02:40.460187+00:00,0.99
docker,20,2025-04-03T04:02:41.460752+00:00,1.96
wasm_aot,19,2025-04-03T04:02:43.518382+00:00,1.27
wasm_aot,20,2025-04-03T04:02:44.801492+00:00,1.13
