deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
docker_container,1,2025-04-03T04:02:48.519707+00:00,,,,,,29393.0,,,249.0,28605.0,231700480.0,235581440.0,19.86,19.01,0.65
docker_container_and_daemon,1,2025-04-03T04:02:48.519707+00:00,,,,,,29393.0,,,249.0,28605.0,285382656.0,341610496.0,19.86,19.01,0.65
docker_container_and_daemon_extra_overhead,1,2025-04-03T04:02:48.519707+00:00,,,,,,29393.0,,,249.0,28605.0,231700480.0,235581440.0,19.86,19.01,0.65
wasm_aot,1,2025-04-03T04:03:29.187428+00:00,,,,,,61460.0,,,465.0,61026.0,320847872.0,320847872.0,,,
docker_container,2,2025-04-03T04:03:52.138966+00:00,,,,,,29993.0,,,108.0,29877.0,113213440.0,223027200.0,17.48,8.51,8.97
docker_container_and_daemon,2,2025-04-03T04:03:52.138966+00:00,,,,,,30029.43,,,112.37,29909.06,167363925.32999998,329056256.0,18.52,8.73,9.790000000000001
docker_container_and_daemon_extra_overhead,2,2025-04-03T04:03:52.138966+00:00,,,,,,30029.43,,,112.37,29909.06,113865045.33,223027200.0,18.52,8.73,9.790000000000001
docker_container,3,2025-04-03T04:04:27.764230+00:00,,,,,,298.0,,,0.0,292.0,2723840.0,3284992.0,,,
docker_container_and_daemon,3,2025-04-03T04:04:27.764230+00:00,,,,,,298.0,,,0.0,292.0,56979456.0,109314048.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-03T04:04:27.764230+00:00,,,,,,298.0,,,0.0,292.0,2861738.670000002,3284992.0,,,
docker_container,4,2025-04-03T04:05:00.443797+00:00,,,,,,17.0,,,0.0,12.0,2641920.0,3706880.0,,,
docker_container_and_daemon,4,2025-04-03T04:05:00.443797+00:00,,,,,,17.0,,,0.0,12.0,57004032.0,109735936.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-03T04:05:00.443797+00:00,,,,,,17.0,,,0.0,12.0,2969600.0,3706880.0,,,
wasm_aot,2,2025-04-03T04:05:33.594136+00:00,,,,,,52846.0,,,465.0,52653.0,307044352.0,307044352.0,,,
wasm_aot,3,2025-04-03T04:05:56.404591+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,14.99,24.58
wasm_aot,4,2025-04-03T04:19:58.503300+00:00,,,,,,71641.0,,,3.0,71638.0,295710720.0,327077888.0,,,
wasm_aot,5,2025-04-03T04:20:42.270845+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,5,2025-04-03T04:21:03.849195+00:00,,,,,,28100.0,,,351.0,27752.0,96860160.0,188141568.0,9.99,3.1,6.89
docker_container_and_daemon,5,2025-04-03T04:21:03.849195+00:00,,,,,,28104.09,,,355.09,27752.0,141537280.0,294170624.0,10.09,3.12,6.97
docker_container_and_daemon_extra_overhead,5,2025-04-03T04:21:03.849195+00:00,,,,,,28104.09,,,355.09,27752.0,101453824.0,188141568.0,10.09,3.12,6.97
wasm_aot,6,2025-04-03T04:21:39.986630+00:00,,,,,,93507.0,,,14.0,93493.0,232574976.0,320188416.0,,,
docker_container,6,2025-04-03T04:23:09.798266+00:00,,,,,,210.0,,,25.0,168.0,6598656.0,6762496.0,,,
docker_container_and_daemon,6,2025-04-03T04:23:09.798266+00:00,,,,,,417.19,,,99.82,290.3,50682538.67,112791552.0,,,
docker_container_and_daemon_extra_overhead,6,2025-04-03T04:23:09.798266+00:00,,,,,,417.19,,,99.82,290.3,7080618.670000002,6762496.0,,,
docker_container,7,2025-04-03T04:23:44.811340+00:00,,,,,,191.0,,,0.0,174.0,2535424.0,3416064.0,,,
docker_container_and_daemon,7,2025-04-03T04:23:44.811340+00:00,,,,,,191.0,,,0.0,174.0,47230976.0,109445120.0,,,
docker_container_and_daemon_extra_overhead,7,2025-04-03T04:23:44.811340+00:00,,,,,,191.0,,,0.0,174.0,2805760.0,3416064.0,,,
wasm_aot,7,2025-04-03T04:24:17.631809+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,8,2025-04-03T04:25:22.038876+00:00,,,,,,8.0,,,0.0,5.0,2592768.0,3702784.0,,,
docker_container_and_daemon,8,2025-04-03T04:25:22.038876+00:00,,,,,,8.0,,,0.0,5.0,48209920.0,109731840.0,,,
docker_container_and_daemon_extra_overhead,8,2025-04-03T04:25:22.038876+00:00,,,,,,8.0,,,0.0,5.0,3846144.0,3702784.0,,,
docker_container,9,2025-04-03T04:25:55.704727+00:00,,,,,,296.0,,,0.0,247.0,2961408.0,3186688.0,,,
docker_container_and_daemon,9,2025-04-03T04:25:55.704727+00:00,,,,,,296.0,,,0.0,247.0,49401856.0,109215744.0,,,
docker_container_and_daemon_extra_overhead,9,2025-04-03T04:25:55.704727+00:00,,,,,,296.0,,,0.0,247.0,3272704.0,3186688.0,,,
docker_container,10,2025-04-03T04:26:28.388372+00:00,,,,,,122.0,,,0.0,268.0,2531328.0,3096576.0,,,
docker_container_and_daemon,10,2025-04-03T04:26:28.388372+00:00,,,,,,122.0,,,0.0,268.0,2531328.0,109125632.0,,,
docker_container_and_daemon_extra_overhead,10,2025-04-03T04:26:28.388372+00:00,,,,,,122.0,,,0.0,268.0,2531328.0,3096576.0,,,
wasm_aot,8,2025-04-03T04:27:00.931069+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,11,2025-04-03T04:30:57.016446+00:00,,,,,,360.0,,,0.0,266.0,2367488.0,3411968.0,,,
docker_container_and_daemon,11,2025-04-03T04:30:57.016446+00:00,,,,,,360.0,,,0.0,266.0,2367488.0,109441024.0,,,
docker_container_and_daemon_extra_overhead,11,2025-04-03T04:30:57.016446+00:00,,,,,,360.0,,,0.0,266.0,2367488.0,3411968.0,,,
docker_container,12,2025-04-03T04:31:29.570147+00:00,,,,,,200.0,,,0.0,210.0,2437120.0,3821568.0,,,
docker_container_and_daemon,12,2025-04-03T04:31:29.570147+00:00,,,,,,200.0,,,0.0,210.0,47419392.0,109850624.0,,,
docker_container_and_daemon_extra_overhead,12,2025-04-03T04:31:29.570147+00:00,,,,,,200.0,,,0.0,210.0,3368550.3999999985,3821568.0,,,
wasm_aot,9,2025-04-03T04:32:02.293442+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,10,2025-04-03T04:33:27.836648+00:00,,,,,,69477.0,,,0.0,69477.0,139980800.0,279961600.0,,8.19,22.78
wasm_aot,11,2025-04-03T04:35:17.109561+00:00,,,,,,93513.0,,,68.0,93445.0,211890176.0,298934272.0,,,
wasm_aot,12,2025-04-03T04:35:39.779158+00:00,,,,,,37011.0,,,0.0,37781.0,188067840.0,188329984.0,,,
docker_container,13,2025-04-03T04:37:32.251958+00:00,,,,,,215.0,,,0.0,215.0,6262784.0,6414336.0,,,
docker_container_and_daemon,13,2025-04-03T04:37:32.251958+00:00,,,,,,215.0,,,0.0,215.0,6262784.0,112443392.0,,,
docker_container_and_daemon_extra_overhead,13,2025-04-03T04:37:32.251958+00:00,,,,,,215.0,,,0.0,215.0,6262784.0,6414336.0,,,
wasm_aot,13,2025-04-03T04:38:52.020768+00:00,,,,,,96058.0,,,110.0,96048.0,218816512.0,295481344.0,,,
wasm_aot,14,2025-04-03T04:39:17.074835+00:00,,,,,,68558.0,,,18.0,68538.0,318107648.0,360284160.0,20.39,1.01,19.38
wasm_aot,15,2025-04-03T04:39:41.667419+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,14,2025-04-03T04:42:33.695890+00:00,,,,,,28063.0,,,287.0,27775.0,79702016.0,156536832.0,9.81,4.8,5.01
docker_container_and_daemon,14,2025-04-03T04:42:33.695890+00:00,,,,,,28063.0,,,287.0,27775.0,123582464.0,262565888.0,9.91,4.85,5.069999999999999
docker_container_and_daemon_extra_overhead,14,2025-04-03T04:42:33.695890+00:00,,,,,,28063.0,,,287.0,27775.0,79984640.0,156536832.0,9.81,4.8,5.069999999999999
wasm_aot,16,2025-04-03T04:43:09.213334+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
wasm_aot,17,2025-04-03T04:43:31.198123+00:00,,,,,,96836.0,,,0.0,96836.0,248963072.0,329617408.0,,,
wasm_aot,18,2025-04-03T04:44:15.609415+00:00,,,,,,95649.0,,,0.0,95649.0,237301760.0,320540672.0,,,
docker_container,15,2025-04-03T04:45:00.772724+00:00,,,,,,41.0,,,6.0,37.0,1495040.0,3244032.0,,,
docker_container_and_daemon,15,2025-04-03T04:45:00.772724+00:00,,,,,,41.0,,,6.0,37.0,1495040.0,109273088.0,,,
docker_container_and_daemon_extra_overhead,15,2025-04-03T04:45:00.772724+00:00,,,,,,41.0,,,6.0,37.0,1495040.0,3244032.0,,,
wasm_aot,19,2025-04-03T04:45:33.822982+00:00,,,,,,92094.0,,,0.0,92083.0,304402432.0,308133888.0,,,
wasm_aot,20,2025-04-03T04:47:43.883211+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,16,2025-04-03T04:51:41.187514+00:00,,,,,,142.0,,,0.0,65.0,2633728.0,3375104.0,,,
docker_container_and_daemon,16,2025-04-03T04:51:41.187514+00:00,,,,,,142.0,,,0.0,65.0,46837760.0,109404160.0,,,
docker_container_and_daemon_extra_overhead,16,2025-04-03T04:51:41.187514+00:00,,,,,,142.0,,,0.0,65.0,3223552.0,3375104.0,,,
docker_container,17,2025-04-03T04:52:13.961325+00:00,,,,,,532.0,,,0.0,543.0,3063808.0,3452928.0,,,
docker_container_and_daemon,17,2025-04-03T04:52:13.961325+00:00,,,,,,657.7,,,0.0,668.7,48494592.0,109481984.0,,,
docker_container_and_daemon_extra_overhead,17,2025-04-03T04:52:13.961325+00:00,,,,,,657.7,,,0.0,668.7,4261888.0,3452928.0,,,
docker_container,18,2025-04-03T04:52:47.377974+00:00,,,,,,204.0,,,0.0,171.0,3661824.0,3866624.0,,,
docker_container_and_daemon,18,2025-04-03T04:52:47.377974+00:00,,,,,,204.0,,,0.0,171.0,49561600.0,109895680.0,,,
docker_container_and_daemon_extra_overhead,18,2025-04-03T04:52:47.377974+00:00,,,,,,204.0,,,0.0,171.0,3731456.0,3866624.0,,,
docker_container,19,2025-04-03T04:53:19.688759+00:00,,,,,,42.0,,,0.0,34.0,2551808.0,3362816.0,,,
docker_container_and_daemon,19,2025-04-03T04:53:19.688759+00:00,,,,,,236.51,,,11.18,217.33,49102848.0,109391872.0,,,
docker_container_and_daemon_extra_overhead,19,2025-04-03T04:53:19.688759+00:00,,,,,,224.51,,,11.18,205.33,2994176.0,3362816.0,,,
