deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-03T04:54:28.328689+00:00,3.03
docker,2,2025-04-03T04:54:31.507926+00:00,2.95
docker,3,2025-04-03T04:54:34.733154+00:00,2.71
docker,4,2025-04-03T04:54:37.534225+00:00,1.98
docker,5,2025-04-03T04:54:39.610147+00:00,2.4
wasm_aot,1,2025-04-03T04:54:42.172378+00:00,2.27
wasm_aot,2,2025-04-03T04:54:44.455516+00:00,1.07
docker,6,2025-04-03T04:54:45.534368+00:00,1.92
docker,7,2025-04-03T04:54:47.551759+00:00,1.85
wasm_aot,3,2025-04-03T04:54:49.528495+00:00,2.64
wasm_aot,4,2025-04-03T04:54:52.189328+00:00,1.21
docker,8,2025-04-03T04:54:53.411804+00:00,2.22
docker,9,2025-04-03T04:54:55.723295+00:00,1.78
docker,10,2025-04-03T04:54:57.599038+00:00,2.77
docker,11,2025-04-03T04:55:00.463929+00:00,1.71
wasm_aot,5,2025-04-03T04:55:02.276406+00:00,1.28
wasm_aot,6,2025-04-03T04:55:03.561770+00:00,0.94
docker,12,2025-04-03T04:55:04.509081+00:00,2.75
wasm_aot,7,2025-04-03T04:55:07.349023+00:00,1.06
docker,13,2025-04-03T04:55:08.417480+00:00,2.49
docker,14,2025-04-03T04:55:11.035467+00:00,2.99
wasm_aot,8,2025-04-03T04:55:14.254348+00:00,0.98
docker,15,2025-04-03T04:55:15.247043+00:00,1.82
wasm_aot,9,2025-04-03T04:55:17.175495+00:00,0.99
wasm_aot,10,2025-04-03T04:55:18.173273+00:00,1.22
wasm_aot,11,2025-04-03T04:55:19.406564+00:00,1.41
wasm_aot,12,2025-04-03T04:55:20.823540+00:00,1.02
wasm_aot,13,2025-04-03T04:55:21.857421+00:00,1.05
wasm_aot,14,2025-04-03T04:55:22.919031+00:00,1.0
wasm_aot,15,2025-04-03T04:55:23.922915+00:00,0.91
wasm_aot,16,2025-04-03T04:55:24.838542+00:00,0.98
wasm_aot,17,2025-04-03T04:55:25.831519+00:00,0.91
wasm_aot,18,2025-04-03T04:55:26.752315+00:00,1.06
docker,16,2025-04-03T04:55:27.822228+00:00,2.01
docker,17,2025-04-03T04:55:29.939089+00:00,1.89
wasm_aot,19,2025-04-03T04:55:31.913225+00:00,0.94
docker,18,2025-04-03T04:55:32.862049+00:00,2.17
wasm_aot,20,2025-04-03T04:55:35.125125+00:00,0.99
docker,19,2025-04-03T04:55:36.122143+00:00,1.85
docker,20,2025-04-03T04:55:38.056564+00:00,1.78
