deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-03-31T10:37:32.150894+00:00,2.26
wasm_aot,1,2025-03-31T10:37:34.503465+00:00,94.63
wasm_interpreted,1,2025-03-31T10:39:09.145557+00:00,96.44
docker,2,2025-03-31T10:40:45.591428+00:00,2.03
docker,3,2025-03-31T10:40:47.696964+00:00,1.89
wasm_aot,2,2025-03-31T10:40:49.659208+00:00,95.56
wasm_interpreted,2,2025-03-31T10:42:25.225164+00:00,94.65
wasm_interpreted,3,2025-03-31T10:43:59.880422+00:00,106.75999999999999
wasm_interpreted,4,2025-03-31T10:45:46.671835+00:00,196.25
wasm_interpreted,5,2025-03-31T10:49:02.976352+00:00,115.78
docker,4,2025-03-31T10:50:58.793475+00:00,6.54
wasm_aot,3,2025-03-31T10:51:05.460610+00:00,105.5
wasm_interpreted,6,2025-03-31T10:52:50.972269+00:00,99.38
docker,5,2025-03-31T10:54:30.367543+00:00,2.35
docker,6,2025-03-31T10:54:32.802123+00:00,2.08
wasm_aot,4,2025-03-31T10:54:34.958831+00:00,103.94
wasm_aot,5,2025-03-31T10:56:18.905643+00:00,1089.99
wasm_aot,6,2025-03-31T11:14:28.907911+00:00,98.64
wasm_interpreted,7,2025-03-31T11:16:07.554341+00:00,97.62
wasm_aot,7,2025-03-31T11:17:45.189149+00:00,98.36
wasm_aot,8,2025-03-31T11:19:23.562482+00:00,97.75
wasm_interpreted,8,2025-03-31T11:21:01.323307+00:00,98.97
wasm_interpreted,9,2025-03-31T11:22:40.309983+00:00,96.93
wasm_aot,9,2025-03-31T11:24:17.264448+00:00,98.7
wasm_interpreted,10,2025-03-31T11:25:55.988419+00:00,97.7
docker,7,2025-03-31T11:27:33.701184+00:00,14764.0
docker,8,2025-03-31T15:33:38.764569+00:00,6.06
wasm_aot,10,2025-03-31T15:33:44.978446+00:00,109.11
docker,9,2025-03-31T15:35:34.101929+00:00,4.12
docker,10,2025-03-31T15:35:38.356296+00:00,2.54
wasm_aot,11,2025-03-31T15:35:40.975946+00:00,103.6
wasm_interpreted,11,2025-03-31T15:37:24.583279+00:00,3362.46
docker,11,2025-03-31T16:33:27.050374+00:00,2.49
wasm_aot,12,2025-03-31T16:33:29.617598+00:00,97.56
wasm_aot,13,2025-03-31T16:35:07.186754+00:00,97.38
wasm_interpreted,12,2025-03-31T16:36:44.573577+00:00,100.15
docker,12,2025-03-31T16:38:24.742591+00:00,2.23
docker,13,2025-03-31T16:38:27.051366+00:00,2.38
wasm_interpreted,13,2025-03-31T16:38:29.506620+00:00,107.94
wasm_interpreted,14,2025-03-31T16:40:17.462160+00:00,102.50999999999999
wasm_interpreted,15,2025-03-31T16:41:59.985776+00:00,98.05
wasm_aot,14,2025-03-31T16:43:38.047127+00:00,97.53999999999999
wasm_aot,15,2025-03-31T16:45:15.595459+00:00,99.00999999999999
wasm_aot,16,2025-03-31T16:46:54.611268+00:00,97.53999999999999
wasm_interpreted,16,2025-03-31T16:48:32.162955+00:00,99.65
wasm_aot,17,2025-03-31T16:50:11.824827+00:00,94.93
docker,14,2025-03-31T16:51:46.764962+00:00,4.15
wasm_aot,18,2025-03-31T16:51:50.995530+00:00,96.62
docker,15,2025-03-31T16:53:27.620959+00:00,2.79
wasm_interpreted,17,2025-03-31T16:53:30.484994+00:00,96.03
wasm_aot,19,2025-03-31T16:55:06.523603+00:00,94.97
docker,16,2025-03-31T16:56:41.506741+00:00,2.12
docker,17,2025-03-31T16:56:43.693586+00:00,2.53
docker,18,2025-03-31T16:56:46.305801+00:00,2.11
docker,19,2025-03-31T16:56:48.497999+00:00,1.91
docker,20,2025-03-31T16:56:50.484341+00:00,2.63
wasm_interpreted,18,2025-03-31T16:56:53.194517+00:00,95.46000000000001
wasm_interpreted,19,2025-03-31T16:58:28.667837+00:00,95.28999999999999
wasm_interpreted,20,2025-03-31T17:00:03.969545+00:00,94.47
wasm_aot,20,2025-03-31T17:01:38.452700+00:00,94.75
