deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_aot,1,2025-04-01T08:18:53.048767+00:00,,,,,,134873.0,,,46.0,134827.0,303406510.38,429412352.0,48.65,46.7,1.94
wasm_aot,2,2025-04-01T08:20:57.859148+00:00,,,,,,134860.0,,,25.0,134835.0,407531153.19,527831040.0,49.45,48.31,0.86
wasm_aot,3,2025-04-01T08:23:02.149888+00:00,,,,,,134860.0,,,0.0,134860.0,321439247.52,445485056.0,49.17,48.51,0.34
wasm_aot,4,2025-04-01T08:25:01.906103+00:00,,,,,,134863.0,,,0.0,134863.0,357052235.29,479203328.0,49.87,49.56,0.07
docker_container,1,2025-04-01T08:27:00.957327+00:00,,,,,,55218.0,,,381.0,54837.0,146245632.0,300834816.0,27.02,16.36,10.66
docker_container_and_daemon,1,2025-04-01T08:27:00.957327+00:00,,,,,,55260.39,,,384.75,54873.39,187235669.32999998,995561472.0,29.02,16.66,12.36
docker_container_and_daemon_extra_overhead,1,2025-04-01T08:27:00.957327+00:00,,,,,,55260.39,,,384.75,54873.39,146754901.32999998,300834816.0,29.009999999999998,16.66,12.35
wasm_interpreted,1,2025-04-01T08:27:35.866504+00:00,,,,,,142617.0,,,4.0,142611.0,301842311.53,423047168.0,49.94,49.4,0.2
wasm_aot,5,2025-04-01T08:29:38.861241+00:00,,,,,,134861.0,,,28.0,134833.0,366484984.79,487882752.0,49.66,48.58,0.85
wasm_interpreted,2,2025-04-01T08:31:43.327922+00:00,,,,,,133852.0,,,4.0,133848.0,361799680.0,483844096.0,49.35,49.32,0.03
wasm_aot,6,2025-04-01T08:33:44.708103+00:00,,,,,,135581.0,,,27.0,135554.0,356703263.03,476512256.0,49.76,49.3,0.04
wasm_aot,7,2025-04-01T08:35:46.999206+00:00,,,,,,134861.0,,,0.0,134861.0,363072704.93,483643392.0,49.87,49.35,0.1
docker_container,2,2025-04-01T08:37:49.076910+00:00,,,,,,55745.0,,,380.0,55366.0,147376128.0,302292992.0,17.72,12.71,5.01
docker_container_and_daemon,2,2025-04-01T08:37:49.076910+00:00,,,,,,55745.0,,,380.0,55366.0,147376128.0,997019648.0,17.72,12.71,5.01
docker_container_and_daemon_extra_overhead,2,2025-04-01T08:37:49.076910+00:00,,,,,,55745.0,,,380.0,55366.0,147376128.0,302292992.0,17.72,12.71,5.01
wasm_aot,8,2025-04-01T08:38:23.781864+00:00,,,,,,134863.0,,,19.0,134844.0,306907264.0,428077056.0,49.29,49.23,0.03
wasm_interpreted,3,2025-04-01T08:40:23.781138+00:00,,,,,,133856.0,,,26.0,133830.0,410697728.0,530771968.0,48.57,47.4,0.96
wasm_interpreted,4,2025-04-01T08:42:25.114662+00:00,,,,,,133843.0,,,18.0,133825.0,318005248.0,439934976.0,49.87,49.67,0.03
wasm_interpreted,5,2025-04-01T08:44:23.503863+00:00,,,,,,133858.0,,,0.0,133858.0,300236800.0,422281216.0,49.76,49.54,0.08
wasm_interpreted,6,2025-04-01T08:46:22.754940+00:00,,,,,,133844.0,,,0.0,133844.0,300240896.0,422219776.0,49.95,49.71,0.03
wasm_aot,9,2025-04-01T08:48:22.224921+00:00,,,,,,134861.0,,,1.0,134860.0,302625792.0,429379584.0,49.33,49.68,0.22
wasm_aot,10,2025-04-01T08:50:20.838097+00:00,,,,,,134863.0,,,0.0,134863.0,298299456.0,424607744.0,49.29,49.66,0.26
wasm_aot,11,2025-04-01T08:52:18.887847+00:00,,,,,,134861.0,,,0.0,134861.0,356877807.48,478687232.0,48.44,48.42,0.02
wasm_aot,12,2025-04-01T08:54:17.096001+00:00,,,,,,149000.0,,,0.0,149000.0,303272119.4,424792064.0,50.18,49.88,0.09
docker_container,3,2025-04-01T08:56:15.559335+00:00,,,,,,58537.0,,,463.0,58074.0,166307157.33,291549184.0,34.81,27.49,7.32
docker_container_and_daemon,3,2025-04-01T08:56:15.559335+00:00,,,,,,58537.0,,,463.0,58074.0,205931861.33,986275840.0,34.89,27.49,7.4
docker_container_and_daemon_extra_overhead,3,2025-04-01T08:56:15.559335+00:00,,,,,,58537.0,,,463.0,58074.0,166794581.33,291549184.0,34.89,27.49,7.4
docker_container,4,2025-04-01T08:56:49.880888+00:00,,,,,,41.0,,,0.0,39.0,2498560.0,3641344.0,,,
docker_container_and_daemon,4,2025-04-01T08:56:49.880888+00:00,,,,,,41.0,,,0.0,39.0,43069440.0,698368000.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-01T08:56:49.880888+00:00,,,,,,41.0,,,0.0,39.0,3555328.0,3641344.0,,,
docker_container,5,2025-04-01T08:57:23.379662+00:00,,,,,,273.0,,,0.0,280.0,2813952.0,3227648.0,,,
